Unnamed: 0,symbol,sum_open_interest,sum_open_interest_value,count_toptrader_long_short_ratio,sum_toptrader_long_short_ratio,count_long_short_ratio,sum_taker_long_short_vol_ratio,info,fundingRate,datetime,Total Tx Count,Total Fees,Total Input Value,Total Output Value,Total BTC Created,Total BTC Sent,Largest Amt Sent,Avg Transaction Fee,Efficiency Ratio,realized_volatility,total_transactions,total_block_cnt,avg_block_difficulty,avg_secs_between_blocks,hashrate,avg_block_size_MB,avg_transactions_count_per_block,first_block,last_block,open,high,low,close_bitcoin_ohlcv,volume_bitcoin_ohlcv,unix,close_btc_futures_volume,volume_btc_futures_volume,base_volume,close_TA,volume_TA,ADX_14,ADXR_14,APO,AROON_osc_14,BOP,CCI_14,CMO_14,DX_14,MACD,MACD_signal,MACD_hist,MACDEXT,MACDEXT_signal,MACDEXT_hist,MACDFIX,MACDFIX_signal,MACDFIX_hist,MFI_14,MINUS_DI_14,MINUS_DM_14,MOM_10,PLUS_DI_14,PLUS_DM_14,PPO,ROC_10,ROCP_10,ROCR_10,ROCR100_10,RSI_14,SlowK_3,SlowD_3,FASTK_5,FASTD_5,FASTK_rsi,FASTD_rsi,TRIX_30,ULTOSC,WILLR_14,BBANDS_upper_14,BBANDS_middle_14,BBANDS_lower_14,DEMA_30,EMA_8,EMA_21,EMA_50,EMA_100,EMA_200,HT_TRENDLINE,KAMA_30,MA_50,MA_200,MA_100,MAMA,FAMA,MIDPOINT_14,MIDPRICE_14,SAR,SAREXT,SMA_8,SMA_21,SMA_50,SMA_100,SMA_200,T3,TEMA_30,TRIMA_30,WMA_50,ATR_14,NATR_14,TRANGE,AD
2020-08-07,,,,,,,,,,,326499.0,137.20910291,1021889.81732761,1021752.6082247,80.84294643,1021752.6082247,6379.36250686,0.00042024,0.99986573,,326499,152,2543981803344090,568.89,1.2719516014740018e+20,1.302,2148,642550,642701,11762.47,11909.94,11322.0,11594.23,65755.926022,1596787200000,11600.5,22036.47626717,255921190.0,11594.23,65755.926022,41.71975348076429,30.21117564343649,1049.8205769230772,64.28571428571429,-0.2861516481273593,85.98318676705344,37.14839717649449,37.17379188040104,590.6571450895681,510.28327649872034,80.37386859084774,1049.8205769230772,761.7941239316227,288.02645299145445,562.4438495479681,484.8900765734626,77.55377297450542,67.53736275907119,12.821171079458704,867.5814504386306,687.9599999999991,27.99355087559456,1894.2642073068164,10.220557255611675,6.307931125856947,0.0630793112585695,1.0630793112585697,106.30793112585695,68.57419858824724,73.8350718096952,64.3844367568223,67.58424543606374,73.8350718096952,29.33554301548934,54.39578210145203,0.2505959992919138,59.168449861339255,-20.27343839783025,12305.897472486806,11106.406428571452,9906.915384656098,11234.386764479726,11392.751697532154,10758.114632637771,10079.670702565883,9534.01020472132,9033.02747118478,10237.710445,10963.2162332903,9783.641000000009,8776.152900000003,9576.975199999992,11479.047148563332,10617.026500428248,10750.795,10818.23,2817.0,2817.0,11465.170000000006,10527.570000000003,9783.641000000009,9576.975199999992,8776.152900000003,11165.398280058287,11657.698464658815,9994.87725000026,10171.48088627422,483.3419912947269,4.16881493031212,587.9400000000005,3634709.374969485
2020-08-14,,,,,,,,,,,365679.0,106.55290555,1438999.52138648,1438892.96848093,193.16777483,1438892.96848093,16050.75428799,0.00029138,0.99992595,,365679,167,2813335187435137,518.22,1.4046292456430698e+20,1.2647,2190,643595,643761,11779.77,11850.0,11634.03,11760.54,59818.852697,1597392000000,11909.5,13595.8552461,160597640.0,11760.54,59818.852697,38.28171721625834,39.7080750959521,668.6311538461559,0.0,-0.0890401444645072,82.74196297336772,27.8869528551934,33.19407779247675,485.45456517934144,522.1153296376933,-36.66076445835188,668.6311538461559,896.7160113960108,-228.0848575498549,464.00946675671184,498.0594650217553,-34.04999826504343,50.844125147875815,11.73233674533825,776.650340659704,568.5700000000015,23.39130606253553,1548.443947380055,6.1098117875115125,5.080160150536517,0.0508016015053651,1.0508016015053652,105.08016015053651,63.94347642759669,61.18993296899604,53.28884898950012,67.44203321483532,61.18993296899604,39.959279851279774,34.61061710955852,0.3739627634110842,65.3502181470872,-22.61240155517885,12093.380913246565,11587.061428571453,11080.74194389634,11749.086351402511,11641.495276402737,11211.650647614151,10472.947477140033,9815.692559000045,9212.67308104468,10845.3005,11359.282955179828,10103.891600000008,8884.692400000002,9771.805999999991,11734.836170473476,11165.257899770691,11482.135,11320.98,2817.0,2817.0,11678.398750000008,11301.078571428578,10103.891600000008,9771.805999999991,8884.692400000002,11579.632913828997,12054.471838220536,10858.237416666934,10657.111035293825,472.8386640869183,4.020552322316137,215.9699999999993,3803102.9104518974
2020-08-21,,,,,,,,,,,314297.0,136.10850768,1494745.00280942,1494608.89430174,149.53699596,1494608.89430174,8750.9988571,0.00043306,0.99990894,,314297,155,2609961559427778,542.9,1.3407769228954224e+20,1.3444,2028,644619,644773,11853.54,11878.0,11485.81,11531.34,64448.306142,1597996800000,11587.5,20233.25978753,235379240.0,11531.34,64448.306142,37.97312584677185,39.68408389232653,223.2519871794884,42.85714285714286,-0.8215405798210059,-57.43388257141459,6.442078207320183,23.69076078809449,355.52140886940106,443.1055925800962,-87.58418371069513,223.2519871794884,492.5688603988616,-269.3168732193731,340.5625911427924,423.44083963920286,-82.87824849641049,54.4383275965513,13.812186181857356,866.036013106834,139.26000000000022,22.38837439116019,1403.7704272428373,1.9295782402910693,1.2224282132850206,0.0122242821328502,1.0122242821328502,101.222428213285,53.2210391036601,19.411412089445424,32.46132670854857,4.635559311334939,19.411412089445424,0.0,4.038369628150928,0.4426475847689071,54.68617510526968,-69.74385703648547,12193.106928875182,11782.998571428592,11372.890213982002,12048.451493940918,11780.044192177398,11523.407391323324,10813.212334258653,10084.19768021397,9392.546712766749,11369.886392857145,11624.539630886233,10487.66780000001,8972.586500000001,9955.793599999992,11871.80806569938,11530.635925037624,11836.605,11796.5,2817.0,2817.0,11861.195000000003,11683.232380952386,10487.66780000001,9955.793599999992,8972.586500000001,11819.88155069297,12192.135726122962,11482.2509583336,11096.862172548726,447.8633172724748,3.883879213278551,392.1900000000005,3813797.8615839807
2020-08-28,,,,,,,,,,,352722.0,103.33520898,2164594.21771944,2164490.88251046,182.9948209,2164490.88251046,11781.27089256,0.00029297,0.99995226,,352722,163,2844394871697103,519.46,1.4517109254392798e+20,1.3021,2164,645615,645777,11330.38,11542.65,11276.89,11526.91,45953.908365,1598601600000,11571.0,8948.415882,102701170.0,11526.91,45953.908365,26.621205459849268,32.40526371693835,11.384038461539603,-57.142857142857146,0.7395018061408808,-81.47951099992271,4.262310770921748,6.624938860261373,135.97183726662115,249.87216841537585,-113.90033114875467,11.384038461539603,145.6104843304846,-134.226445868945,131.17513046634303,239.7777928485106,-108.60266238216757,51.6131365650201,18.69452849236568,1070.15829565296,-418.1000000000004,16.37143017020579,937.173773358529,0.0976294661188726,-3.500206362322011,-0.0350020636232201,0.96499793637678,96.49979363767798,52.13115538546087,45.51838550650882,43.25732465696794,57.86697961145835,45.51838550650882,45.867418587974186,26.4399573187834,0.4322342034101645,58.29724345824292,-69.69178589413191,12207.762538204151,11701.817857142882,11195.873176081612,11913.91895257848,11538.281470429423,11517.275139451654,10985.985874640432,10272.33995988417,9536.793893015169,11695.362390316204,11618.579686495646,10810.932200000008,9034.601549999998,10090.85189999999,11727.669447541975,11623.356015954028,11799.775,11792.82,2817.0,2817.0,11528.471250000008,11698.01952380953,10810.932200000008,10090.85189999999,9034.601549999998,11633.705231328784,11828.337462254383,11706.024125000264,11342.357074509508,408.8890409412658,3.547256298012788,265.7600000000002,3911295.254402299
2020-09-04,,,,,,,,,0.0001,,298286.0,155.46345969,2653965.34837282,2653809.88491313,259.86460442,2653809.88491313,16207.93129085,0.00052119,0.99994142,16.171931012257907,298286,135,2352771066712418,638.57,1.18094086416708e+20,1.3,2210,646628,646762,10138.29,10627.05,9875.5,10446.25,92733.599113,1599206400000,10409.5,41860.15115417,434264430.0,10446.25,92733.599113,22.972689477629423,29.74560148385213,-232.1388461538445,-21.42857142857143,0.4097664826026205,-252.3130232906425,-23.51863263343584,39.05479960511836,-92.47682612131575,81.71749961118331,-174.19432573249907,-232.1388461538445,-94.15345441595493,-137.9853917378896,-85.9857749126877,79.17255227354838,-165.15832718623608,46.525801128330144,30.067338375298736,2141.969613072257,-872.1700000000001,13.177969892639696,938.7864904997548,-2.0055895631360103,-7.705757517392008,-0.07705757517392,0.92294242482608,92.29424248260798,38.24068368328208,20.165862593693102,40.52404671293343,26.23715723906497,20.165862593693102,19.78029965692158,6.593433218973804,0.3691480334892416,45.31937719097616,-73.76284276093503,12345.176186475634,11387.18214285717,10429.188099238703,11566.198021270253,11090.480287244569,11340.639819308126,11040.36110162229,10397.146486189791,9651.740803521372,11590.299210526317,11553.148880564311,11092.316400000009,9074.96455,10247.25569999999,10874.494043275872,11431.252261987309,11031.41,10963.175,2817.0,2817.0,11281.378750000007,11549.97952380953,11092.316400000009,10247.25569999999,9074.96455,11444.106754681385,11277.56174886058,11682.097541666932,11424.157356862446,508.8505926113291,4.871131675111442,751.5499999999993,3880341.934216444
2020-09-11,,,,,,,,,0.0001,,308323.0,95.16710292,3129422.36298278,3129327.19587986,41.26135208,3129327.19587986,18369.85041435,0.00030866,0.99996959,15.840777526272712,308323,138,2376401699412286,619.79,1.2020312540347644e+20,1.3286,2234,647691,647828,10336.86,10397.6,10200.0,10387.89,43830.254467,1599811200000,10348.5,7323.367902,75586070.0,10387.89,43830.254467,29.14699162410768,27.09510020234808,-561.1274358974388,-28.571428571428573,0.2582489878542446,-45.096338909921656,-17.41230655991825,32.529342362072995,-309.7870656235518,-209.3195975439438,-100.46746807960804,-561.1274358974388,-378.5482905982917,-182.57914529914703,-294.73738750990924,-198.0751583768794,-96.66222913302984,51.56354535180869,20.78001646322533,1396.5152389639566,-1534.08,10.579101589973607,710.9655861481867,-5.019493283018166,-12.86767203742335,-0.1286767203742334,0.8713232796257665,87.13232796257665,41.29384672004088,71.67377226156208,56.33849510208811,84.9277650588141,71.67377226156208,100.0,90.96463580821217,0.2263388163470381,59.434742414588285,-74.7112339106409,12086.09676353144,10756.50428571431,9426.91180789718,10796.550894750404,10429.66723300909,10822.385956538856,10852.349265901648,10380.357089977346,9693.381577209617,11092.754625974028,11271.668820948958,11225.539200000005,9092.922449999998,10290.58509999999,10532.65935013653,11136.174004839117,11024.31,10937.925,2817.0,2817.0,10289.148750000006,11013.690000000008,11225.539200000005,10290.58509999999,9092.922449999998,10575.148996136486,10328.443775100572,11366.206583333604,11180.62788235264,480.0337318016869,4.621089863308978,197.6000000000004,4022206.678379082
2020-09-18,,,,,,,,,4.967e-05,,325157.0,69.41040707,3786073.56625388,3786004.15584681,58.5953347,3786004.15584681,22174.55788148,0.00021347,0.99998167,15.625728911318646,325157,165,2844743640172371,514.68,1.4475198621019968e+20,1.1539,1971,648826,648990,10940.0,11038.03,10812.84,10933.39,47266.728275,1600416000000,10911.0,9886.37194749,108089210.0,10933.39,47266.728275,21.63659811577657,22.916762135323857,-344.0910897435879,78.57142857142857,-0.0293529908077648,123.72993291987602,4.077853271165574,6.988680273800288,-108.74997130725568,-189.22034516868607,80.47037386143046,-344.0910897435879,-542.2038603988619,198.1127706552741,-105.97756378127632,-181.3626419873912,75.38507820611488,74.9799943091482,14.015658375656251,831.2906495631612,806.7399999999998,16.121874167510704,956.2136069300424,-3.1608742186144165,7.9665042240030015,0.07966504224003,1.07966504224003,107.966504224003,52.0389266355828,83.05910824440468,83.30509039613922,81.8760929303022,83.05910824440468,91.78458726416424,96.47905369953804,0.1067353455956432,63.26844920967679,-12.587539432176705,11073.68214700756,10494.654285714309,9915.626424421056,10742.6449970142,10751.599274758835,10792.991888513656,10824.772327934954,10426.175502923032,9763.250506102151,10735.831150000002,11161.255954448668,11260.581000000004,9160.273849999998,10358.537799999987,10800.370143612832,10815.415530193914,10540.33,10459.0,2817.0,2817.0,10680.763750000007,10745.203809523817,11260.581000000004,10358.537799999987,9160.273849999998,10584.728806714613,10464.843377162308,10880.816208333605,11034.141294117344,423.6540442749309,3.874864468156088,225.1900000000005,4128833.925129885
2020-09-25,,,,,,,,,0.0001,,353070.0,77.16010813,2837170.26285114,2837093.10274301,0.0,2837093.10274301,21453.43083257,0.00021854,0.9999728,16.645294566761617,353070,169,3244862275888296,510.83,1.623950099041513e+20,1.3481,2089,649835,650003,10736.33,10760.53,10556.24,10686.67,48101.117008,1601020800000,10720.5,12026.79348954,128337040.0,10686.67,48101.117008,18.605655160423147,23.81040221639252,84.2942307692283,-28.571428571428573,-0.2430858093886124,-0.7924462408123012,-2.69571013744528,10.547769723550692,-95.69973465485418,-115.29790374090928,19.59816908605509,84.2942307692283,-149.2300712250728,233.5243019943011,-92.02724085016598,-111.00639610459471,18.979155254428747,66.11307022031346,19.28277247104791,1111.909368861271,-98.63999999999942,15.603091837691696,899.7266354504362,0.7909681267255106,-0.9145773278653956,-0.0091457732786539,0.990854226721346,99.0854226721346,48.65214493127736,46.02823653263533,32.0175447870784,64.53335524153793,46.02823653263533,91.26333540148552,58.49366902647832,0.0387145946557421,54.70897526977239,-47.28036281005209,11197.716323659371,10690.745000000024,10183.773676340674,10641.732101867192,10642.405026633607,10717.829904412834,10781.982313165272,10455.95205896059,9823.63720474944,10535.363385714289,11066.96526700342,11150.282600000002,9230.598199999997,10444.882699999987,10846.779385876898,10851.90551679859,10661.055,10658.305,2817.0,2817.0,10693.200000000004,10549.398571428575,11150.282600000002,10444.882699999987,9230.598199999997,10680.290242436777,10447.226318311055,10615.260416666932,10879.582227450675,411.8811125062711,3.8541576796726296,204.29000000000087,4160966.261822825
2020-10-02,,,,,,,,,0.0001,,315443.0,122.51219145,2707776.7982977,2707654.28610625,236.18599067,2707654.28610625,23884.10874274,0.00038838,0.99995476,15.670459779528024,315443,136,2607478614553095,627.54,1.3219192349353068e+20,1.2911,2319,650856,650991,10619.13,10664.64,10374.0,10570.4,50130.393705,1601625600000,10533.0,11312.63992017,118883800.0,10570.4,50130.393705,14.141862749473676,17.627473083846226,14.735576923072584,-28.571428571428573,-0.1676644646297813,-69.4691446593982,-8.166837454190459,17.16669747956418,-49.80441953204354,-64.21392167228275,14.409502140239212,14.735576923072584,98.31024216523798,-83.5746652421654,-47.84289434046696,-61.97744914542493,14.134554804957972,40.94479169864142,19.38091027694548,971.1323838203,40.789999999999054,13.701715919505665,686.5611497704742,0.1387530532461829,0.3873837682497161,0.0038738376824971,1.0038738376824972,100.38738376824972,45.91658127290478,40.25900475524206,52.17329889587585,34.09722222222216,40.25900475524206,0.0,17.726681362955684,-0.0016032122209574,54.82468055816037,-58.4283344679138,11089.505579964818,10686.98428571431,10284.462991463804,10644.677707312538,10678.077686622872,10711.45149769704,10764.624248972772,10489.53857731488,9883.836183372594,10714.35385263158,11013.713320168785,11017.061000000002,9396.775999999996,10535.365799999989,10762.76456075706,10816.794648249335,10661.055,10658.305,2817.0,2817.0,10711.530000000002,10698.857142857149,11017.061000000002,10535.365799999989,9396.775999999996,10700.351130075373,10541.648803285154,10641.20712500027,10775.335098038911,357.911975511398,3.385983269425925,290.6399999999994,4197410.682551467
2020-10-09,,,,,,,,,0.0001,,339343.0,110.78393286,2758062.4255976,2757951.64166474,56.12674561,2757951.64166474,25760.82228077,0.00032647,0.99995983,9.714006904171594,339343,142,2721030293263028,609.72,1.3593970130266364e+20,1.3135,2390,651884,652025,10925.44,11104.64,10829.0,11050.64,48240.073237,1602230400000,11397.5,18194.56227482,203592490.0,11050.64,48240.073237,12.865520712784091,15.324122408679976,-7.538589743593548,50.0,0.4542156435930894,217.0572198203095,15.415791803274931,18.798542416580315,12.26293933600573,-32.65173426376919,44.91467359977492,-7.538589743593548,14.695121082615517,-22.233710826209062,10.99941751446022,-31.58460109470712,42.58401860916734,53.619359657635165,15.085858355290185,650.6484078612789,210.15999999999983,22.07076125290396,951.9051108187432,-0.070215495692167,1.938659542750876,0.0193865954275087,1.0193865954275088,101.93865954275088,57.70789590163746,80.33773948144628,69.98491124927207,90.68387274860255,80.33773948144628,100.0,84.48430035005822,-0.0223898664851063,69.77449729615427,-7.390780685426482,11004.862574701592,10732.052142857166,10459.24171101274,10702.26728244196,10795.741482437888,10742.75346204487,10763.521093376676,10524.159256449851,9942.514407011067,10691.813698529411,10990.020910119283,10854.7598,9565.257349999994,10646.765799999985,10689.430331530151,10748.241769768603,10796.35,10739.32,2817.0,2817.0,10726.695000000003,10707.663809523816,10854.7598,10646.765799999985,9565.257349999994,10700.904943291454,10683.03887873234,10695.01191666694,10722.262321568322,308.0692207315349,2.7877952836354725,275.6399999999994,4319663.292429382
