,0
CLF,-0.42556390977443603
CPIAUCSL,-0.42556390977443603
WM2NS,-0.17744360902255638
DGS10,-0.33233082706766914
PCEPI,-0.38796992481203
EFFR,0.1743408639479146
PPIACO,-0.5037593984962406
FX_EURUSD_daily_volatility,0.38646616541353385
UNRATE,0.1819548872180451
CRBL.L,-0.5293233082706766
VIX,0.045112781954887216
WALCL,-0.12932330827067667
HOUST,0.26917293233082706
INDPRO,0.048120300751879695
RSXFS,-0.018045112781954885
GCF,0.11578947368421053
HOUST_deseas,0.31127819548872177
INDPRO_deseas,0.13834586466165413
RSXFS_deseas,0.18796992481203004
GCF_deseas,0.21954887218045113
CLF_deseas,-0.4060150375939849
UNRATE_deseas,0.11729323308270674
CRBL.L_deseas,-0.5278195488721804
PPIACO_deseas,-0.5022556390977443
