,0
CLF,-0.2902255639097744
CPIAUCSL,-0.6195488721804511
WM2NS,0.11729323308270674
DGS10,-0.2526315789473684
PCEPI,-0.6375939849624059
EFFR,-0.2981153301273864
PPIACO,-0.22255639097744356
FX_EURUSD_daily_volatility,0.34736842105263155
UNRATE,0.29172932330827067
CRBL.L,-0.28721804511278193
VIX,-0.09022556390977443
WALCL,-0.26315789473684204
HOUST,0.11428571428571428
INDPRO,0.22255639097744356
RSXFS,0.24511278195488717
GCF,0.4496240601503759
HOUST_deseas,0.22105263157894736
INDPRO_deseas,0.156390977443609
RSXFS_deseas,0.22857142857142856
GCF_deseas,0.38646616541353385
CLF_deseas,-0.27518796992481204
UNRATE_deseas,0.24060150375939846
CRBL.L_deseas,-0.3218045112781954
PPIACO_deseas,-0.2120300751879699
