,0
CLF,0.07218045112781954
CPIAUCSL,-0.362406015037594
WM2NS,0.3699248120300751
DGS10,-0.05263157894736842
PCEPI,-0.2781954887218045
EFFR,-0.23547337468289758
PPIACO,0.04962406015037594
FX_EURUSD_daily_volatility,0.2120300751879699
UNRATE,-0.10225563909774435
CRBL.L,0.1639097744360902
VIX,-0.03157894736842105
WALCL,0.28120300751879695
HOUST,0.35639097744360904
INDPRO,0.09624060150375939
RSXFS,0.1744360902255639
GCF,0.3293233082706767
HOUST_deseas,0.13834586466165413
INDPRO_deseas,-0.0015037593984962405
RSXFS_deseas,-0.06165413533834586
GCF_deseas,0.051127819548872175
CLF_deseas,0.0631578947368421
UNRATE_deseas,-0.2421052631578947
CRBL.L_deseas,0.16691729323308271
PPIACO_deseas,0.018045112781954885
