,0
CLF,-0.30225563909774433
CPIAUCSL,-0.4526315789473684
WM2NS,-0.29172932330827067
DGS10,-0.3609022556390977
PCEPI,-0.4812030075187969
EFFR,0.32377589018898423
PPIACO,-0.3157894736842105
FX_EURUSD_daily_volatility,0.6330827067669172
UNRATE,0.17744360902255638
CRBL.L,-0.58796992481203
VIX,-0.20150375939849624
WALCL,-0.11428571428571428
HOUST,0.10676691729323308
INDPRO,-0.003007518796992481
RSXFS,-0.09022556390977443
GCF,0.16240601503759397
HOUST_deseas,0.16240601503759397
INDPRO_deseas,0.04060150375939849
RSXFS_deseas,0.07518796992481201
GCF_deseas,0.1789473684210526
CLF_deseas,-0.2827067669172932
UNRATE_deseas,0.10375939849624059
CRBL.L_deseas,-0.5684210526315789
PPIACO_deseas,-0.35488721804511275
