,Lag 0,Lag 1,Lag 2,Lag 3,Lag 4
DGS10,-0.0572384793615378,0.17901633413634224,0.1401843787036615,0.007990798804486231,0.0160183660746197
WM2NS,-0.382991504333648,0.16537872615236493,0.049717954744917435,0.17897340399278774,-0.08281604229055083
CRBL.L,0.09748562601905088,0.2376580484674447,0.10305263752656504,-0.20653141525441335,-0.05023446775782096
CLF,0.16098858663005233,0.1620147828496505,0.09659075010094048,0.00993727543634826,0.13991552408035166
IXIC,0.7028233073028405,-0.024274942211479623,-0.022809498151644955,-0.04753500827284116,0.10613529630394276
INDPRO,-0.031289355731583875,0.027789319128907565,0.013155998626014822,-0.11730262224621628,0.12186565964111581
UNRATE,0.17862727694110175,-0.1576152985164103,0.08709258471407384,-0.302949800383193,-0.12561686342193987
FX_EURUSD_daily_volatility,-0.08670931796625557,0.11560841387118809,0.09443815007581706,0.24176163105563495,0.00381182605249583
GCF,-0.059298034840813516,0.27429775525106376,-0.04769258704434853,0.03503657937351655,-0.0895720878458326
HOUST,-0.03141918708316721,-0.03721174183109244,-0.19820266782471513,0.09957083051132311,0.0406218865470386
PPIACO,0.13333679807608564,0.15069048480957983,-0.02135153875369619,0.051831391225072306,-0.014713439221762015
WALCL,-0.08564318201321547,0.12555691083915116,0.27810227450430536,-0.034421902542402225,-0.20388001990213234
CPIAUCSL,0.008828531907666819,-0.10139346168655462,0.1612508465472746,0.08244525387847758,0.2133448687155492
GSPC,0.7996224148287994,0.024820446530838716,-0.08656035767907547,-0.02827513423125897,0.14362045228808681
EFFR,-0.17032406536820052,-0.007006758564178179,0.056397976045942745,-0.07198978085582192,-0.03759928301342062
VIX,-0.742813009525444,-0.011001003773741701,0.1582197958468226,0.05153040767508428,-0.10352005286318852
RSXFS,-0.005452916766500095,-0.13921970934605044,-0.0876347668038911,-0.03743378255144111,-0.12266530307708114
DX-Y.NYB,0.08332618209903028,-0.0850077564334586,-0.0037131741177096438,-0.22876222731304813,0.049907562327726675
PCEPI,-0.11087597425216861,-0.23276115211411766,0.2941048654591619,0.1221523430625973,0.05853389951266192
