,0
CLF,-0.5157894736842105
CPIAUCSL,-0.7563909774436091
WM2NS,-0.06766917293233082
DGS10,-0.2796992481203007
PCEPI,-0.7609022556390977
EFFR,-0.20905809226654692
PPIACO,-0.5218045112781955
FX_EURUSD_daily_volatility,0.38947368421052625
UNRATE,0.3654135338345864
CRBL.L,-0.4766917293233082
VIX,-0.021052631578947364
WALCL,-0.4481203007518797
HOUST,0.17593984962406017
INDPRO,0.03308270676691729
RSXFS,0.013533834586466165
GCF,0.4842105263157894
HOUST_deseas,0.23909774436090225
INDPRO_deseas,0.14586466165413534
RSXFS_deseas,0.2270676691729323
GCF_deseas,0.4827067669172932
CLF_deseas,-0.4676691729323308
UNRATE_deseas,0.33082706766917286
CRBL.L_deseas,-0.4812030075187969
PPIACO_deseas,-0.46917293233082696
