,0
CLF,-0.013533834586466165
CPIAUCSL,0.12481203007518797
WM2NS,0.45563909774436084
DGS10,-0.31879699248120297
PCEPI,0.14736842105263157
EFFR,-0.13283113443650635
PPIACO,0.06165413533834586
FX_EURUSD_daily_volatility,-0.030075187969924807
UNRATE,-0.4240601503759398
CRBL.L,-0.04360902255639097
VIX,0.07518796992481201
WALCL,0.4676691729323308
HOUST,0.3398496240601503
INDPRO,0.1263157894736842
RSXFS,0.156390977443609
GCF,-0.12180451127819547
HOUST_deseas,0.28421052631578947
INDPRO_deseas,0.30075187969924805
RSXFS_deseas,0.26165413533834586
GCF_deseas,0.1639097744360902
CLF_deseas,0.030075187969924807
UNRATE_deseas,-0.4090225563909774
CRBL.L_deseas,-0.013533834586466165
PPIACO_deseas,0.14736842105263157
