date,avg_sentiment_weekly,weighted_avg_sentiment_weekly,neg_count_weekly,neu_count_weekly,pos_count_weekly,neg_prop_weekly,neu_prop_weekly,pos_prop_weekly,polarity_index_weekly,max_sentiment_weekly,min_sentiment_weekly,AI_avg_sentiment_weekly,AI_weighted_avg_sentiment_weekly,AI_neg_count_weekly,AI_neu_count_weekly,AI_pos_count_weekly,AI_neg_prop_weekly,AI_neu_prop_weekly,AI_pos_prop_weekly,AI_polarity_index_weekly,AI_max_sentiment_weekly,AI_min_sentiment_weekly,avg_sentiment_weekly_diff,weighted_avg_sentiment_weekly_diff,polarity_index_weekly_diff,neg_prop_weekly_diff,neu_prop_weekly_diff,pos_prop_weekly_diff,AI_avg_sentiment_weekly_diff,AI_weighted_avg_sentiment_weekly_diff,AI_polarity_index_weekly_diff,AI_neg_prop_weekly_diff,AI_neu_prop_weekly_diff,AI_pos_prop_weekly_diff
10/4/2020,1,1,0,0,1,0,0,1,0.999999,1,1,1,1,0,0,1,0,0,1,0.999999,1,1,1,1,0.999999,-0.333333333,-0.333333333,0.6666666666666667,0.5,0.5,0.4999990833343195,0,-0.5,0.5
17/4/2020,0.5,0.5,0,0,0.5,0,0,0.5,0.4999995,0.5,0.5,0.5,0.5,0,0,0.5,0,0,0.5,0.4999995,0.5,0.5,-0.5,-0.5,-0.4999995,0,0,-0.5,-0.5,-0.5,-0.4999995,0,0,-0.5
24/4/2020,0.071428571,0.071428571,5,3,6,0.3571428571428571,0.2142857142857142,0.4285714285714285,0.071428566,1,-1,0.6428571428571429,0.6428571428571429,2,1,11,0.1428571428571428,0.071428571,0.7857142857142857,0.6428570969387788,1,-1,-0.428571429,-0.428571429,-0.428570934,0.3571428571428571,0.2142857142857142,-0.071428571,0.1428571428571429,0.1428571428571429,0.1428575969382787,0.1428571428571428,0.071428571,0.2857142857142857
1/5/2020,0.071428571,0.071428571,5,3,6,0.3571428571428571,0.2142857142857142,0.4285714285714285,0.071428566,1,-1,0.6428571428571429,0.6428571428571429,2,1,11,0.1428571428571428,0.071428571,0.7857142857142857,0.6428570969387788,1,-1,0,0,0,0,0,0,0,0,0,0,0,0
8/5/2020,0.071428571,0.071428571,5,3,6,0.3571428571428571,0.2142857142857142,0.4285714285714285,0.071428566,1,-1,0.6428571428571429,0.6428571428571429,2,1,11,0.1428571428571428,0.071428571,0.7857142857142857,0.6428570969387788,1,-1,0,0,0,0,0,0,0,0,0,0,0,0
15/5/2020,-0.1,-0.1,3,5,2,0.3,0.5,0.2,-0.09999999,1,-1,0.3,0.3,2,3,5,0.2,0.3,0.5,0.29999997,1,-1,-0.171428571,-0.171428571,-0.171428556,-0.057142857,0.2857142857142857,-0.228571429,-0.342857143,-0.342857143,-0.342857127,0.057142857,0.2285714285714285,-0.285714286
22/5/2020,-0.05,-0.05,1.5,2.5,1,0.15,0.25,0.1,-0.049999995,0.5,-0.5,0.15,0.15,1,1.5,2.5,0.1,0.15,0.25,0.1499999850000015,0.5,-0.5,0.05,0.05,0.049999995,-0.15,-0.25,-0.1,-0.15,-0.15,-0.149999985,-0.1,-0.15,-0.25
29/5/2020,-0.1,-0.1,3,5,2,0.3,0.5,0.2,-0.09999999,1,-1,0.3,0.3,2,3,5,0.2,0.3,0.5,0.29999997,1,-1,-0.05,-0.05,-0.049999995,0.15,0.25,0.1,0.15,0.15,0.1499999850000015,0.1,0.15,0.25
5/6/2020,-0.1,-0.1,3,5,2,0.3,0.5,0.2,-0.09999999,1,-1,0.3,0.3,2,3,5,0.2,0.3,0.5,0.29999997,1,-1,0,0,0,0,0,0,0,0,0,0,0,0
12/6/2020,0,0,3,6,3,0.25,0.5,0.25,0,1,-1,0.4166666666666667,0.4166666666666667,2,3,7,0.1666666666666666,0.25,0.5833333333333334,0.4166666319444473,1,-1,0.1,0.1,0.09999999,-0.05,0,0.05,0.1166666666666667,0.1166666666666667,0.1166666619444443,-0.033333333,-0.05,0.083333333
