Date,Total Tx Count,Total Fees,Total Input Value,Total Output Value,Total BTC Created,Total BTC Sent,Largest Amt Sent,Avg Transaction Fee,Efficiency Ratio
2020-07-08,347455,47.68607406,1087765.02697656,1087717.3409025,71.59560863,1087717.3409025,19630.80582247,0.00013724,0.99995616
2020-07-09,362718,55.08128328,975194.41816826,975139.33688498,165.0956322,975139.33688498,6527.67032141,0.00015186,0.99994352
2020-07-10,345996,48.41811415,968613.10967884,968564.69156469,105.67059708,968564.69156469,9885.20607609,0.00013994,0.99995001
2020-07-11,306771,32.6994024,613009.72445673,612977.02505433,251.78674161,612977.02505433,2255.30844242,0.00010659,0.99994666
2020-07-12,282364,24.5852307,677563.98345795,677539.39822725,76.3205575,677539.39822725,7977.23352446,8.707e-05,0.99996372
2020-07-13,310227,40.91827816,1222991.89205352,1222950.97377536,260.83259149,1222950.97377536,9134.20837668,0.0001319,0.99996654
2020-07-14,359847,62.95443097,909687.51477972,909624.56034875,39.48168874,909624.56034875,9453.69583715,0.00017495,0.9999308
2020-07-15,316064,64.32008944,832897.82020161,832833.50011217,26.52320264,832833.50011217,8836.17315892,0.0002035,0.99992278
2020-07-16,345849,78.15856789,983776.11664377,983697.95807588,13.09812894,983697.95807588,7551.16254321,0.00022599,0.99992055
2020-07-17,293907,77.30576136,848052.63617863,847975.33041727,88.58529226,847975.33041727,5999.99663565,0.00026303,0.99990884
2020-07-18,311022,76.31263773,659560.96735698,659484.65471925,170.93786052,659484.65471925,2095.18463978,0.00024536,0.9998843
2020-07-19,277093,45.96803343,650554.84062275,650508.87258932,174.15990013,650508.87258932,6700.0,0.00016589,0.99992934
2020-07-20,309747,78.58857188,908551.94423376,908473.35566188,26.383873,908473.35566188,5187.76941264,0.00025372,0.9999135
2020-07-21,312871,102.28349837,889708.29961455,889606.01611618,141.77712849,889606.01611618,6010.04986242,0.00032692,0.99988504
2020-07-22,364792,143.27483781,953897.57279829,953754.29796048,29.31316891,953754.29796048,7759.99605296,0.00039276,0.9998498
2020-07-23,336245,135.00696882,1015412.18315991,1015277.17619109,13.35920747,1015277.17619109,6810.8855128,0.00040151,0.99986704
2020-07-24,369432,124.38037589,1034380.24292257,1034255.86254668,256.23428435,1034255.86254668,8814.11406552,0.00033668,0.99987975
2020-07-25,293883,89.04999864,791107.83835923,791018.78836059,20.16265256,791018.78836059,7337.44958699,0.00030301,0.99988744
2020-07-26,298580,76.48811017,729229.25686728,729152.76875711,128.51789133,729152.76875711,8034.88694892,0.00025617,0.99989511
2020-07-27,326769,121.12370183,1238402.50455036,1238281.38084853,105.83744613,1238281.38084853,15022.37503323,0.00037067,0.99990219
2020-07-28,354742,187.57139032,1269084.50861044,1268896.93722012,38.30537031,1268896.93722012,14442.37505123,0.00052875,0.9998522
2020-07-29,346521,174.64034253,1131070.42933439,1130895.78899186,74.41838501,1130895.78899186,8099.9996401,0.00050398,0.9998456
2020-07-30,327789,179.95866069,1044767.55384733,1044587.59518664,199.14275357,1044587.59518664,8251.95018059,0.00054901,0.99982775
2020-07-31,356906,171.64760126,1013435.95306477,1013264.30546351,121.61883177,1013264.30546351,8051.94838059,0.00048093,0.99983063
2020-08-01,296705,128.24563386,864010.55441505,863882.30878119,216.17355069,863882.30878119,8006.63797764,0.00043223,0.99985157
