date,symbol,open,high,low,close,volume,ADX_14,ADXR_14,APO,AROON_osc_14,BOP,CCI_14,CMO_14,DX_14,MACD,MACD_signal,MACD_hist,MACDEXT,MACDEXT_signal,MACDEXT_hist,MACDFIX,MACDFIX_signal,MACDFIX_hist,MFI_14,MINUS_DI_14,MINUS_DM_14,MOM_10,PLUS_DI_14,PLUS_DM_14,PPO,ROC_10,ROCP_10,ROCR_10,ROCR100_10,RSI_14,SlowK_3,SlowD_3,FASTK_5,FASTD_5,FASTK_rsi,FASTD_rsi,TRIX_30,ULTOSC,WILLR_14,BBANDS_upper_14,BBANDS_middle_14,BBANDS_lower_14,DEMA_30,EMA_8,EMA_21,EMA_50,EMA_100,EMA_200,HT_TRENDLINE,KAMA_30,MA_50,MA_200,MA_100,MAMA,FAMA,MIDPOINT_14,MIDPRICE_14,SAR,SAREXT,SMA_8,SMA_21,SMA_50,SMA_100,SMA_200,T3,TEMA_30,TRIMA_30,WMA_50,ATR_14,NATR_14,TRANGE,AD
2018-03-04,BTCUSDT,11464.47,11565.0,11050.02,11515.0,17295.918653,17.099610046538746,22.987122965059488,588.3904487179407,-35.714285714285715,0.0981203153520538,112.46822258552056,19.261472565991355,16.392362029668135,288.0421369945234,87.79412636982093,200.2480106247025,588.3904487179407,883.1681695156611,-294.77772079772046,273.10119745464544,82.09378426582579,191.00741318881967,52.73693726603352,16.358968109986087,2083.843956600618,1703.9599999999991,22.773743941491936,2900.97323758939,5.945250323983958,17.367781601135036,0.1736778160113503,1.1736778160113503,117.36778160113504,59.63073628299568,93.97850614506898,88.56826256975351,96.22641509433964,93.97850614506898,100.0,100.0,-0.4544919221180055,61.00441775369482,-10.79200863328834,11826.57198994231,10584.032857142867,9341.493724343429,10217.499985315812,10902.347179224123,10431.634246025846,10645.559733295684,10527.075273098464,8756.4903,10006.327694005273,10330.938567044275,10267.606000000002,8756.4903,12242.314000000002,10996.995266375716,10533.313915661463,10552.5,10530.405,2817.0,2817.0,10718.535,10316.780952380956,10267.606000000002,12242.314000000002,8756.4903,10504.426828974812,10771.113509899516,9800.213750000026,10043.83756078431,909.8740172577236,7.901641487257696,514.9799999999996,344799.6863369492
2018-03-05,BTCUSDT,11515.0,11710.0,11415.01,11454.0,15144.231063,17.230487387330037,22.574241004219044,524.8212179487091,-35.714285714285715,-0.2067866707346013,116.03610091501554,18.01491187059727,18.931892817616784,327.6838677149117,135.7720746388391,191.9117930760726,524.8212179487091,846.73898860398,-321.91777065527094,311.0627895521575,127.88758532309214,183.1752042290653,50.34843677553903,15.960915490399028,1934.9979597005745,1322.9599999999991,23.41564341825024,2838.760863475862,5.224657014286524,13.058481656374866,0.1305848165637485,1.1305848165637489,113.05848165637488,59.00745593529864,91.07441838383836,92.34498032850549,82.58503401360545,91.07441838383836,84.02858646275365,94.67619548758456,-0.4319455633844393,54.52074402671475,-13.221116513553232,11896.192705867312,10605.532857142867,9314.873008418426,10359.892696689089,11024.936694952095,10524.576587296224,10677.263273166442,10545.430218185624,8783.331192537313,10219.667976378692,10358.729024660031,10227.186200000002,8792.334899999998,12269.853900000002,11019.84550305693,10545.477205346351,10552.5,10530.405,2817.0,2817.0,10951.535,10438.257142857146,10227.186200000002,12269.853900000002,8792.334899999998,10643.620551877711,10948.376787642292,9920.614791666692,10090.36281568627,865.9537303107435,7.560273531611171,294.9899999999998,333658.80161888537
2018-03-06,BTCUSDT,11455.0,11455.0,10555.48,10716.48,29515.572363,16.027165691011785,21.008065556604805,487.4876282051191,-35.714285714285715,-0.8210156527926006,43.53172081754788,3.8776865151977673,0.3839836388744841,296.1744103851306,167.8525417880974,128.32186859703322,487.4876282051191,793.6713461538371,-306.183717948718,282.09663495636414,158.72939524974657,123.3672397066176,41.87674151158056,21.85022360916749,2656.313819721963,1021.9699999999992,21.68306291146392,2635.9922303704434,4.799111963163804,10.541739603136202,0.105417396031362,1.105417396031362,110.5417396031362,51.93884325759888,64.2522128169008,83.10171244860271,13.945189342757155,64.2522128169008,0.0,61.342862154251215,-0.4098203657056376,48.88158730638672,-40.79829172141919,11821.214356743008,10570.925000000014,9320.63564325702,10396.964808529015,10956.39076274052,10542.022352087475,10678.80118402266,10548.817342577988,8802.566504054354,10392.936461133067,10369.159654260193,10170.717200000005,8825.375449999998,12285.7385,10999.97153201857,10560.36453926264,10552.5,10492.4,2817.0,2817.0,11000.595,10541.903809523814,10170.717200000005,12285.7385,8825.375449999998,10752.039291290022,10968.096067257557,10034.265875000025,10109.550807843132,868.3513210028333,8.102952844617201,899.5200000000004,314708.880159574
2018-03-07,BTCUSDT,10716.48,10899.0,9389.31,9910.0,50647.67108,16.274463452708503,20.43362296517368,421.9107051281972,57.142857142857146,-0.5342023859202878,-62.39136776449475,-8.964592939624243,19.48933435476584,203.7777197662399,175.0375773837259,28.74014238251399,421.9107051281972,725.3909330484237,-303.4802279202265,195.66240876216216,166.11599795222966,29.546410809932496,43.715730633279016,28.38470219651974,3632.747118313251,320.0,19.12531591479567,2447.707071058269,4.134341287908487,3.3368091762252305,0.0333680917622523,1.0333680917622523,103.33680917622524,45.51770353018788,39.655694935684,64.99410871214106,22.436861450689253,39.655694935684,0.0,28.009528820917883,-0.390107069713308,50.7828809294104,-73.91590013140602,11828.333929987715,10533.2392857143,9238.14464144088,10330.032557564668,10723.859482131516,10484.56577462498,10648.652117982554,10536.167494210107,8813.585742819982,10508.458207792206,10352.043558604966,10150.917200000002,8854.225549999997,12288.338500000002,10945.47295541764,10569.992249666511,10552.5,10492.4,2817.0,2817.0,10918.215,10563.809047619052,10150.917200000002,12288.338500000002,8854.225549999997,10792.044314587483,10837.217763629136,10130.170375000023,10099.326603921563,914.161226645488,9.224633972204725,1509.6900000000005,298997.8329621528
2018-03-08,BTCUSDT,9910.0,10099.0,9060.0,9271.64,41109.473226,16.821024623079484,20.11255954168236,358.2999999999938,-21.42857142857143,-0.6143984600577483,-120.58663039286476,-17.643670647028525,23.92631983790224,78.14159213302264,155.65838033358526,-77.51678820056262,358.2999999999938,650.5204202279108,-292.220420227917,77.62529631839789,148.4178576254633,-70.79256130706543,46.46761287158722,28.65083768681288,3702.575181290876,-1052.3600000000006,17.587665521042677,2272.870851696964,3.501280121953541,-10.193335916311508,-0.1019333591631151,0.8980666408368849,89.80666408368849,41.17816467648574,14.78948862926205,39.56579879394895,7.986415094339601,14.78948862926205,0.0,0.0,-0.3740470436969456,44.62596704733928,-92.0135849056604,11900.79180518946,10494.710714285728,9088.629623381994,10189.9978507059,10401.144041657844,10374.29979511362,10594.651642767552,10511.127345809908,8818.143496622768,10538.478870927316,10332.3561970857,10116.574200000005,8880.152299999998,12282.0869,10861.78130764676,10577.286976116018,10393.32,10385.0,2817.0,2817.0,10786.325,10529.120952380958,10116.574200000005,12282.0869,8880.152299999998,10745.095663566852,10605.212536978732,10203.462541666691,10064.845145098036,923.078281885096,9.955933167002774,1039.0,274636.01885752066
2018-03-09,BTCUSDT,9267.07,9410.0,8329.0,9227.0,64112.291407,17.961088366974185,20.241332694939068,283.3146153846101,-28.571428571428573,-0.0370675300647545,-146.77822747720333,-18.2307495289136,32.78191703760526,-24.74279951275276,119.57814436431764,-144.32094387707042,283.3146153846101,571.9864601139509,-288.6718447293408,-19.402667924094203,114.8537525155518,-134.256420439646,46.45090856537461,31.8714162528373,4169.105525484385,-1342.0400000000009,16.134241390757307,2110.5229337186097,2.7564787267609225,-12.697841998894887,-0.1269784199889489,0.8730215800110511,87.30215800110511,40.8846252355432,18.994488612712512,24.47989072588619,26.560189293108547,18.994488612712512,0.0,0.0,-0.3612161381770784,48.71780607613884,-73.43981070689145,11973.433497383954,10430.13642857144,8886.839359758927,10058.052564679836,10140.223143511656,10269.999813739652,10541.018245011965,10485.699081536444,8822.211720536969,10498.041024227236,10312.090577639876,10081.874800000003,8906.207299999998,12277.4781,10780.04224226442,10582.355857769728,10371.0,10019.5,2817.0,2817.0,10574.7,10484.693333333338,10081.874800000003,12277.4781,8906.207299999998,10628.329068065956,10392.862912181528,10262.715125000026,10029.959882352936,934.3584046075893,10.126350976564314,1081.0,317041.46599536063
2018-03-10,BTCUSDT,9230.0,9490.0,8667.07,8770.22,37180.012857,18.89135778099411,20.336947725992733,158.93987179486794,-28.571428571428573,-0.5587109474681935,-127.8132506907151,-24.186208930399875,30.984860163253146,-141.50655023792933,67.36120544386824,-208.8677556817976,158.93987179486794,488.0906267806179,-329.15075498575,-129.73112479560768,65.9367770533199,-195.6679018489276,47.15515669861496,29.849151366011977,3871.312273664072,-1556.5400000000009,15.727339426602452,2039.771295595852,1.5471569303047128,-15.072878618269437,-0.1507287861826943,0.8492712138173056,84.92712138173056,37.906895534800064,16.220375913325153,16.668117718433237,14.11452335252717,16.220375913325153,0.0,0.0,-0.3522214673533641,43.89054076550224,-86.95001478852411,12095.286620311068,10364.115714285726,8632.944808260385,9882.086075807165,9835.778000509066,10133.656194308776,10471.57517658012,10451.729198733745,8821.694389984363,10405.175225146198,10294.559558226068,10027.779600000003,8929.858399999997,12266.7907,10679.5511301512,10584.785739579263,10142.61,10019.5,2817.0,2817.0,10291.1025,10376.630000000005,10027.779600000003,12266.7907,8929.858399999997,10452.32964088351,10123.562460514737,10307.080791666694,9978.522439215682,926.3992328499044,10.563010196436398,822.9300000000003,289182.09602706204
2018-03-11,BTCUSDT,8770.22,9740.0,8450.0,9533.57,44325.973386,19.3476047030092,19.839640152200527,34.432628205124274,-28.571428571428573,0.5917441860465119,-97.6044290528803,-9.79465284455639,25.27881468920536,-170.48149396576991,19.79266556194061,-190.2741595277105,34.432628205124274,396.4879558404474,-362.0553276353231,-157.76614885688468,21.196191871278984,-178.96234072816367,54.50834780313466,26.961214894109705,3594.7899684023523,-1386.4300000000003,16.08072313985992,2144.073345910434,0.3339327410773139,-12.696245421245422,-0.1269624542124542,0.8730375457875458,87.30375457875458,45.10267357772181,29.18171355373335,21.465526026590336,46.870428015564194,29.18171355373335,94.54683454480022,31.515611514933408,-0.3445809639536668,47.77978458876975,-64.37237503697132,12098.69347985207,10360.085000000012,8621.476520147953,9818.784013949573,9768.620667062609,10079.102903917068,10434.79065985149,10433.547828461788,8828.777729387504,10327.702888716887,10286.77305602848,9962.452200000003,8956.956199999997,12254.296500000002,10106.5605650756,10465.229445953348,10142.61,10019.5,2817.0,2817.0,10049.73875,10336.160476190482,9962.452200000003,12254.296500000002,8956.956199999997,10270.38109132852,10026.280372937326,10340.996625000029,9959.14167058823,952.3707162177682,9.989654622746444,1290.0,319321.69625636126
2018-03-12,BTCUSDT,9533.57,9888.88,8780.0,9131.34,42230.77793,19.528054565215747,19.3985142799714,-52.92993589744037,-28.571428571428573,-0.3627353726282373,-83.43747968637373,-15.360639861747494,21.87390277390088,-223.3265753027863,-28.831182611004778,-194.49539269178152,-52.92993589744037,311.6296866096786,-364.55962250711895,-208.20106735042464,-24.683259973061745,-183.51780737736289,54.90473208278704,24.74494960591607,3338.0192563736127,-1907.66,15.862512767423407,2139.8052497739736,-0.5139332298031926,-17.281094302020104,-0.172810943020201,0.8271890569797989,82.71890569797989,42.31968006912625,35.438298290305454,26.94679591912132,45.32994350282487,35.438298290305454,61.32463380616498,51.95715611698839,-0.339041138725793,45.61870105016707,-76.26915113871635,12125.49856981539,10274.895000000011,8424.291430184636,9711.972890039026,9627.002741048696,9992.942639924608,10383.67494770045,10407.76153482888,8831.788299244345,10259.691581699348,10277.45193384217,9914.479000000005,8981.032849999998,12236.709800000002,10057.799536821822,10455.04369822506,10142.61,10019.5,2817.0,2817.0,9751.78125,10239.890952380958,9914.479000000005,12236.709800000002,8981.032849999998,10091.654977943012,9868.622200702472,10368.79058333336,9926.549035294112,963.549950773642,10.55211996019907,1108.8799999999992,303851.9051201103
2018-03-13,BTCUSDT,9131.34,9474.0,8823.0,9150.0,40191.409358,19.695615151550403,19.11677455040772,-167.73416666667072,-28.571428571428573,0.0286635944700458,-78.81536117215808,-15.00611011128797,21.87390277390088,-260.6958376004186,-75.20411360888755,-185.49172399153105,-167.73416666667072,227.61584045583288,-395.3500071225036,-244.11376000827656,-68.56935998010471,-175.54440002817188,47.62013033705418,23.522457400875687,3099.589309489784,-2314.48,15.078845856827138,1986.9620176472613,-1.6338334975438624,-20.18826846049712,-0.2018826846049711,0.7981173153950288,79.81173153950289,42.49694494435602,48.27754176049973,37.63251786817951,52.63225376311001,48.27754176049973,63.78809049107672,73.2198529473473,-0.3351790934278398,47.58041603029567,-75.71724341910677,12102.383738033515,10173.535000000013,8244.686261966508,9618.412550008929,9521.002131926762,9916.311490840551,10335.295537986707,10382.855365822368,8834.954584824003,10225.23435130719,10263.3020836624,9882.278000000004,9005.379449999999,12216.555700000004,10012.40955998073,10443.977844768951,10142.61,10019.5,2817.0,2817.0,9463.78125,10142.224761904768,9882.278000000004,12216.555700000004,9005.379449999999,9925.343949932,9734.735289016096,10387.292791666694,9896.569466666662,941.2249542898104,10.28661152229301,651.0,304037.11898811953
2018-03-14,BTCUSDT,9151.92,9333.78,7900.28,8170.0,49708.094108,20.76322067333471,19.26981567350048,-330.2798076923136,-64.28571428571429,-0.6849808161841643,-109.36672802762575,-27.591920314922863,34.64209245653073,-365.1794950974181,-133.19918990659366,-231.98030519082445,-330.2798076923136,132.6046153846081,-462.8844230769217,-343.1038348104212,-123.476254946168,-219.6275798642532,39.99515371853495,27.805926563584933,3800.910073097656,-3345.0,13.497541105802467,1845.036159243885,-3.2412921890002555,-29.04906643508467,-0.2904906643508467,0.7095093356491533,70.95093356491533,36.20403984253857,37.17516937930175,40.297003143368975,13.563310871970248,37.17516937930175,0.0,41.7042414324139,-0.3350657823573022,45.28668534247627,-92.92021460894765,12202.533463081723,10019.480714285726,7836.427965489727,9412.212866174015,9220.779435943035,9757.55590076414,10250.381987477424,10339.036447687273,8828.338121293416,10158.397863970587,10243.907135270028,9829.694400000004,9024.54225,12182.465700000002,9920.289081981691,10430.88562569927,9842.5,9805.14,2817.0,2817.0,9145.47125,10034.243809523814,9829.694400000004,12182.465700000002,9024.54225,9740.816400778063,9440.888146782398,10386.38183333336,9829.421309803916,976.387457554824,11.950886873376058,1433.500000000001,273034.6644236281
2018-03-15,BTCUSDT,8184.01,8430.0,7650.0,8240.98,52291.022277,21.967280197183463,19.603545562762413,-491.2675000000054,-71.42857142857143,0.0730384615384607,-114.15392691882278,-26.13504016908394,37.62005400721722,-437.2160986053532,-194.0025716463456,-243.2135269590076,-491.2675000000054,23.854045584038733,-515.1215455840442,-411.7513629819896,-181.1312765533324,-230.6200864286573,33.39735748084125,28.05378288027014,3779.696496447824,-3213.0200000000004,12.716122469133245,1713.2478621550365,-4.8726607102475,-28.051510389383623,-0.2805151038938362,0.7194848961061637,71.94848961061638,36.93247991545803,30.863932822093897,38.77221465396512,26.396233831201304,30.863932822093897,8.185976573452729,23.991355688176483,-0.3378128228581634,49.0285472117066,-85.44384236453203,12128.401252060636,9828.122142857155,7527.843033653674,9235.45408826574,9003.046227955696,9619.685364331037,10171.581909537132,10297.49077545584,8822.493761877562,10054.788841911764,10231.803192855625,9767.514200000003,9044.197099999998,12147.875600000005,9836.323627882608,10416.021575753852,9842.5,9680.0,2817.0,2817.0,8936.84375,9959.479047619054,9767.514200000003,12147.875600000005,9044.197099999998,9543.18234325954,9198.11973217256,10369.838291666694,9767.11878431372,962.3597820151936,11.67773471134736,780.0,299981.97123704205
2018-03-16,BTCUSDT,8240.98,8611.64,7900.0,8260.0,38815.409893,22.74731128287491,19.950662511509545,-680.8471153846222,-71.42857142857143,0.0267269967961335,-93.73869413388104,-25.72078595089761,32.88771539686384,-487.1552483781761,-252.63310699271167,-234.52214138546444,-680.8471153846222,-98.67460113960786,-582.1725142450143,-459.666779173338,-236.83837707733343,-222.8284020960045,34.15041400805582,26.54389667955333,3509.718175272979,-2456.48,13.405464478896938,1772.5130148582475,-6.808165048271548,-22.92245214846665,-0.2292245214846665,0.7707754785153335,77.07754785153334,37.13960702455119,22.401770147728183,30.14695744970794,27.24576574001287,22.401770147728183,14.867015581442963,7.684330718298564,-0.3427803830367004,45.89664100442795,-84.97536945812807,11957.137329294215,9629.622142857155,7302.106956420094,9079.00286186207,8837.924843965542,9496.077603937303,10096.617913084698,10257.144423466616,8816.89680902306,9932.974,10203.011997698684,9709.208800000004,9063.563649999998,12094.975100000003,9757.507446488476,10399.558722522215,9842.5,9680.0,2817.0,2817.0,8810.38875,9870.381904761907,9709.208800000004,12094.975100000003,9063.563649999998,9345.378063239292,8991.238279590256,10334.766166666694,9708.00058039215,944.4512261569656,11.43403421497537,711.6399999999994,300437.95576110686
2018-03-17,BTCUSDT,8260.0,8348.62,7721.99,7824.8,33110.206329,23.63950761453109,20.36955883053492,-855.2727564102606,-71.42857142857143,-0.6945087212549657,-107.3254580215534,-31.281942507618293,35.238059926061446,-555.4465452272179,-313.1957946396129,-242.250750587605,-855.2727564102606,-233.51601851852504,-621.7567378917356,-524.8090238880868,-294.43250643948414,-230.37651744860267,29.267774013846616,26.634392119223115,3437.0340198963377,-2085.2,12.754507919397527,1645.9049423683728,-8.663234112434255,-21.04137235116044,-0.2104137235116044,0.7895862764883956,78.95862764883957,34.35902874619085,21.075110968182543,24.780271312668205,9.583333333333345,21.075110968182543,0.0,7.684330718298564,-0.3505350918953875,45.389885480718974,-95.69458128078816,11631.44518726851,9369.645000000011,7107.844812731517,8884.335335480246,8612.785989750977,9344.14327630664,10007.527014532356,10208.979187358364,8807.025198983029,9736.036516666669,10135.563386862626,9643.924800000004,9079.75025,12007.233100000003,9630.139669306802,10374.205895660778,9669.9,9680.0,2817.0,2817.0,8635.11375,9781.3480952381,9643.924800000004,12007.233100000003,9079.75025,9142.488231992696,8733.875865904658,10280.176500000023,9634.102196078426,921.7497100028968,11.77985009205215,626.630000000001,278192.4074047047
2018-03-18,BTCUSDT,7824.01,8317.4,7322.0,8189.99,59488.231711,24.829371105043595,21.029929246186818,-950.0058974359016,-92.85714285714286,0.3676712879244522,-104.172704829972,-22.96266229381341,40.29759648170608,-573.4892815593485,-365.25449202356,-208.2347895357884,-950.0058974359016,-370.55163105413743,-579.4542663817642,-542.7337622763152,-344.09275760685034,-198.6410046694649,24.10661372748237,27.673610352195187,3591.521589903742,-1081.6499999999996,11.776260559604289,1528.3403036277748,-9.73702482808973,-11.66622086275998,-0.1166622086275998,0.8833377913724002,88.33377913724001,38.518668853093295,26.65815760732232,23.37834624107768,43.1453737486206,26.65815760732232,100.0,38.28900519381432,-0.3595404342856101,45.48503010239013,-80.2190063810392,11125.306589903292,9132.1442857143,7138.981981525306,8755.16704096512,8518.83132536187,9239.220251187857,9936.251053178146,10168.99920345028,8800.885545261805,9521.615045833332,10087.54898878404,9577.904600000003,9097.9245,11930.333000000002,8910.0648346534,10008.170630408931,9639.4,9516.0,2817.0,2817.0,8562.585000000001,9714.680952380955,9577.904600000003,11930.333000000002,9097.9245,8955.414925817313,8577.95159904182,10207.61433333336,9577.085145098034,927.0104450026898,11.318822672588,995.3999999999996,322451.7952292299
