Price,Close
Ticker,CAT
DATE,
2020-09-01,132.37701416015625
2020-09-02,135.29559326171875
2020-09-03,133.0205535888672
2020-09-04,134.30763244628906
2020-09-08,134.61581420898438
2020-09-09,138.3954315185547
2020-09-10,135.83035278320312
2020-09-11,139.42872619628906
2020-09-14,139.1386260986328
2020-09-15,134.6882781982422
2020-09-16,136.9633331298828
2020-09-17,139.46493530273438
2020-09-18,138.12351989746094
2020-09-21,131.72447204589844
2020-09-22,133.37405395507812
2020-09-23,130.8633575439453
2020-09-24,131.55221557617188
2020-09-25,132.25015258789062
2020-09-28,133.85438537597656
2020-09-29,133.60971069335938
2020-09-30,135.18679809570312
2020-10-01,132.9752655029297
2020-10-02,135.90286254882812
2020-10-05,139.12049865722656
2020-10-06,137.34397888183594
2020-10-07,140.28065490722656
2020-10-08,141.99374389648438
2020-10-09,144.06028747558594
2020-10-12,147.3867645263672
2020-10-13,146.9425506591797
2020-10-14,148.29312133789062
2020-10-15,149.5892333984375
2020-10-16,152.95191955566406
2020-10-19,151.84609985351562
2020-10-20,153.16940307617188
2020-10-21,151.728271484375
2020-10-22,153.77670288085938
2020-10-23,153.740234375
2020-10-26,148.8249969482422
2020-10-27,144.00096130371094
2020-10-28,137.84548950195312
2020-10-29,141.0463409423828
2020-10-30,143.2167205810547
2020-11-02,148.88880920410156
2020-11-03,152.91949462890625
2020-11-04,141.55703735351562
2020-11-05,148.72467041015625
2020-11-06,147.08323669433594
2020-11-09,155.77378845214844
2020-11-10,157.12344360351562
2020-11-11,154.5336151123047
2020-11-12,154.23268127441406
2020-11-13,156.5854034423828
2020-11-16,157.93508911132812
2020-11-17,156.76780700683594
2020-11-18,157.52468872070312
2020-11-19,157.6705780029297
2020-11-20,157.0596160888672
2020-11-23,159.38502502441406
2020-11-24,161.3182373046875
2020-11-25,159.24819946289062
2020-11-27,159.65855407714844
2020-11-30,158.29983520507812
2020-12-01,157.99887084960938
2020-12-02,158.55514526367188
2020-12-03,159.24819946289062
2020-12-04,166.16055297851562
2020-12-07,162.9688720703125
2020-12-08,163.08737182617188
2020-12-09,164.20904541015625
2020-12-10,163.0965118408203
2020-12-11,163.4977264404297
2020-12-14,162.36700439453125
2020-12-15,165.73194885253906
2020-12-16,163.68927001953125
2020-12-17,163.3883514404297
2020-12-18,165.02066040039062
2020-12-21,164.29112243652344
2020-12-22,161.0264434814453
2020-12-23,162.70437622070312
2020-12-24,163.74398803710938
2020-12-28,162.65878295898438
2020-12-29,161.09031677246094
2020-12-30,164.18170166015625
2020-12-31,165.98727416992188
2021-01-04,166.1058349609375
2021-01-05,167.464599609375
2021-01-06,176.78440856933594
2021-01-07,177.1217803955078
2021-01-08,177.14915466308594
2021-01-11,176.78440856933594
2021-01-12,180.1402130126953
2021-01-13,178.6355438232422
2021-01-14,180.01258850097656
2021-01-15,177.4774169921875
2021-01-19,177.90835571289062
2021-01-20,176.33151245117188
2021-01-21,176.19395446777344
2021-01-22,175.9647674560547
2021-01-25,171.7476348876953
2021-01-26,171.62847900390625
2021-01-27,165.59608459472656
2021-01-28,168.99729919433594
2021-01-29,167.62217712402344
2021-02-01,169.34573364257812
2021-02-02,176.47816467285156
2021-02-03,175.51556396484375
2021-02-04,175.69891357421875
2021-02-05,176.93653869628906
2021-02-08,181.01620483398438
2021-02-09,180.86036682128906
2021-02-10,181.2637176513672
2021-02-11,181.8412628173828
2021-02-12,181.51126098632812
2021-02-16,185.53585815429688
2021-02-17,185.4625244140625
2021-02-18,183.2805938720703
2021-02-19,192.4391326904297
2021-02-22,199.91079711914062
2021-02-23,201.85435485839844
2021-02-24,203.95376586914062
2021-02-25,203.35784912109375
2021-02-26,197.91224670410156
2021-03-01,201.46929931640625
2021-03-02,197.8572540283203
2021-03-03,197.02297973632812
2021-03-04,195.06109619140625
2021-03-05,201.83602905273438
2021-03-08,203.1378631591797
2021-03-09,198.75567626953125
2021-03-10,202.66110229492188
2021-03-11,201.46929931640625
2021-03-12,209.94027709960938
2021-03-15,211.53546142578125
2021-03-16,207.6116943359375
2021-03-17,214.18492126464844
2021-03-18,211.4804229736328
2021-03-19,206.53904724121094
2021-03-22,207.2082977294922
2021-03-23,200.0850067138672
2021-03-24,202.81695556640625
2021-03-25,205.5856170654297
2021-03-26,210.39866638183594
2021-03-29,211.0587158203125
2021-03-30,213.68069458007812
2021-03-31,212.5713653564453
2021-04-01,213.36895751953125
2021-04-05,214.25827026367188
2021-04-06,211.44375610351562
2021-04-07,211.23291015625
2021-04-08,211.29705810546875
2021-04-09,211.54461669921875
2021-04-12,211.70962524414062
2021-04-13,210.26113891601562
2021-04-14,213.22230529785156
2021-04-15,213.1672821044922
2021-04-16,213.93739318847656
2021-04-19,213.0481414794922
2021-04-20,208.68426513671875
2021-04-21,213.1123046875
2021-04-22,209.8394012451172
2021-04-23,211.91148376464844
2021-04-26,212.32586669921875
2021-04-27,212.12327575683594
2021-04-28,213.92828369140625
2021-04-29,209.4802703857422
2021-04-30,210.0696563720703
2021-05-03,210.1249237060547
2021-05-04,214.9504852294922
2021-05-05,219.06695556640625
2021-05-06,218.32107543945312
2021-05-07,221.93101501464844
2021-05-10,223.42291259765625
2021-05-11,220.3746795654297
2021-05-12,218.55125427246094
2021-05-13,221.0837860107422
2021-05-14,223.0729522705078
2021-05-17,225.43051147460938
2021-05-18,220.53128051757812
2021-05-19,218.13687133789062
2021-05-20,216.40554809570312
2021-05-21,218.4775848388672
2021-05-24,220.1444549560547
2021-05-25,218.4131622314453
2021-05-26,218.91043090820312
2021-05-27,222.1980743408203
2021-05-28,222.01390075683594
2021-06-01,223.56103515625
2021-06-02,224.20567321777344
2021-06-03,224.55560302734375
2021-06-04,224.72137451171875
2021-06-07,220.7982940673828
2021-06-08,221.16665649414062
2021-06-09,216.09242248535156
2021-06-10,207.87786865234375
2021-06-11,203.24566650390625
2021-06-14,201.68931579589844
2021-06-15,202.10374450683594
2021-06-16,199.98565673828125
2021-06-17,192.8853759765625
2021-06-18,192.34205627441406
2021-06-21,196.3480224609375
2021-06-22,196.27438354492188
2021-06-23,196.88214111328125
2021-06-24,201.9932403564453
2021-06-25,199.2028350830078
2021-06-28,199.166015625
2021-06-29,198.0885772705078
2021-06-30,200.41847229003906
2021-07-01,199.5712432861328
2021-07-02,200.53819274902344
2021-07-06,196.63352966308594
2021-07-07,197.71099853515625
2021-07-08,195.33502197265625
2021-07-09,200.2250518798828
2021-07-12,201.29335021972656
2021-07-13,198.17144775390625
2021-07-14,194.90220642089844
2021-07-15,194.69039916992188
2021-07-16,191.50401306152344
2021-07-19,188.02281188964844
2021-07-20,192.54100036621094
2021-07-21,195.10560607910156
2021-07-22,193.65200805664062
2021-07-23,193.99456787109375
2021-07-26,195.38336181640625
2021-07-27,194.3371124267578
2021-07-28,195.762939453125
2021-07-29,196.7998809814453
2021-07-30,191.42068481445312
2021-08-02,189.94862365722656
2021-08-03,193.04095458984375
2021-08-04,189.35604858398438
2021-08-05,191.8280792236328
2021-08-06,192.90206909179688
2021-08-09,193.4020233154297
2021-08-10,198.19796752929688
2021-08-11,205.22518920898438
2021-08-12,203.9105224609375
2021-08-13,202.36431884765625
2021-08-16,201.56809997558594
2021-08-17,197.6147003173828
2021-08-18,194.25381469726562
2021-08-19,189.29122924804688
2021-08-20,189.74488830566406
2021-08-23,193.63348388671875
