Price,Close
Ticker,005930.KS
DATE,
2020-09-01,47710.70703125
2020-09-02,47886.7578125
2020-09-03,49647.30859375
2020-09-04,48943.0859375
2020-09-07,49735.33203125
2020-09-08,51671.92578125
2020-09-09,51407.8515625
2020-09-10,52112.0625
2020-09-11,51936.01171875
2020-09-14,53168.390625
2020-09-15,53696.5546875
2020-09-16,53696.5546875
2020-09-17,52376.1484375
2020-09-18,52200.08203125
2020-09-21,52112.0625
2020-09-22,51231.80078125
2020-09-23,51583.90625
2020-09-24,50879.6796875
2020-09-25,50967.7109375
2020-09-28,51546.9609375
2020-09-29,51546.9609375
2020-10-05,51989.7890625
2020-10-06,52255.50390625
2020-10-07,53052.6171875
2020-10-08,52875.48046875
2020-10-12,53495.46484375
2020-10-13,53938.30859375
2020-10-14,53938.30859375
2020-10-15,53141.1875
2020-10-16,52698.3515625
2020-10-19,53141.1875
2020-10-20,53938.30859375
2020-10-21,53938.30859375
2020-10-22,53229.7421875
2020-10-23,53318.32421875
2020-10-26,53495.46484375
2020-10-27,52964.05078125
2020-10-28,52255.50390625
2020-10-29,51458.38671875
2020-10-30,50129.8515625
2020-11-02,50838.3984375
2020-11-03,52078.36328125
2020-11-04,51812.66796875
2020-11-05,53406.89453125
2020-11-06,53229.7421875
2020-11-09,53318.32421875
2020-11-10,53318.32421875
2020-11-11,54292.578125
2020-11-12,54026.87890625
2020-11-13,55975.37890625
2020-11-16,58721.01171875
2020-11-17,58189.59765625
2020-11-18,57392.48828125
2020-11-19,57215.34765625
2020-11-20,57303.91015625
2020-11-23,59783.83984375
2020-11-24,59960.97265625
2020-11-25,58986.71875
2020-11-26,60226.67578125
2020-11-27,60403.8203125
2020-11-30,59075.2890625
2020-12-01,60049.5546875
2020-12-02,61555.2109375
2020-12-03,61732.3515625
2020-12-04,63326.58203125
2020-12-07,64566.55078125
2020-12-08,63503.7109375
2020-12-09,65452.2265625
2020-12-10,64566.55078125
2020-12-11,65009.37890625
2020-12-14,65363.66015625
2020-12-15,65363.66015625
2020-12-16,65363.66015625
2020-12-17,64920.828125
2020-12-18,64655.125
2020-12-21,64655.125
2020-12-22,64035.12890625
2020-12-23,65452.2265625
2020-12-24,68906.3984375
2020-12-28,69703.5234375
2020-12-29,71094.5390625
2020-12-30,73546.0703125
2021-01-04,75362.03125
2021-01-05,76179.2109375
2021-01-06,74635.6328125
2021-01-07,75271.21875
2021-01-08,80628.3125
2021-01-11,82625.84375
2021-01-12,82262.6796875
2021-01-13,81445.4765625
2021-01-14,81445.4765625
2021-01-15,79901.921875
2021-01-18,77178.0
2021-01-19,78993.9375
2021-01-20,79175.5390625
2021-01-21,79992.6875
2021-01-22,78812.3359375
2021-01-25,81173.0546875
2021-01-26,78721.53125
2021-01-27,77722.765625
2021-01-28,75997.6328125
2021-01-29,74454.0703125
2021-02-01,75362.03125
2021-02-02,76633.21875
2021-02-03,76814.8046875
2021-02-04,74908.0390625
2021-02-05,75816.03125
2021-02-08,75362.03125
2021-02-09,75089.640625
2021-02-10,74090.8671875
2021-02-15,76451.6171875
2021-02-16,77087.1796875
2021-02-17,75543.625
2021-02-18,74544.8515625
2021-02-19,74998.84375
2021-02-22,74635.6328125
2021-02-23,74454.0703125
2021-02-24,74454.0703125
2021-02-25,77450.390625
2021-02-26,74908.0390625
2021-03-02,75906.8125
2021-03-03,76270.015625
2021-03-04,74817.2578125
2021-03-05,74544.8515625
2021-03-08,74454.0703125
2021-03-09,73909.265625
2021-03-10,73455.28125
2021-03-11,74454.0703125
2021-03-12,75180.4375
2021-03-15,74272.46875
2021-03-16,75180.4375
2021-03-17,74726.453125
2021-03-18,75271.21875
2021-03-19,74363.2578125
2021-03-22,74454.0703125
2021-03-23,74272.46875
2021-03-24,73546.0703125
2021-03-25,73727.671875
2021-03-26,74000.09375
2021-03-29,74090.8671875
2021-03-30,74967.3046875
2021-03-31,74237.6953125
2021-04-01,75605.703125
2021-04-02,77338.546875
2021-04-05,77885.734375
2021-04-06,78432.953125
2021-04-07,78068.1484375
2021-04-08,77247.34375
2021-04-09,76244.125
