date,^N225,CAT,CVX,GS,JPM,005930.KS,JNJ
2020-09-04,23205.4296875,134.30763244628906,66.0134048461914,187.2228546142578,90.08300018310548,48943.0859375,128.83828735351562
2020-09-11,23406.490234375,139.42872619628906,62.59711837768555,178.3294677734375,87.95100402832031,51936.01171875,128.13592529296875
2020-09-18,23360.30078125,138.12351989746094,63.01609802246094,172.95083618164062,85.58406829833984,52200.08203125,129.34983825683594
2020-09-25,23204.619140625,132.25015258789062,57.87554931640625,173.0306854248047,81.33748626708984,50967.7109375,126.29774475097656
2020-10-02,23029.900390625,135.90286254882812,57.35988235473633,177.42416381835938,85.18376922607422,51546.9609375,126.80065155029295
2020-10-09,23619.689453125,144.06028747558594,59.62397384643555,184.2051544189453,88.88130950927734,52875.48046875,130.90188598632812
2020-10-16,23410.630859375,152.95191955566406,58.7296028137207,183.0246734619141,89.15357208251953,52698.3515625,128.4134063720703
2020-10-23,23516.58984375,153.740234375,58.47178649902344,181.9862670898437,91.1736068725586,53318.32421875,125.93358612060548
2020-10-30,22977.130859375,143.2167205810547,55.998191833496094,167.7852325439453,86.10597229003906,50129.8515625,118.88428497314452
2020-11-06,24325.23046875,147.08323669433594,57.32764434814453,178.63121032714844,90.42707061767578,53229.7421875,123.34101104736328
2020-11-13,25385.869140625,156.5854034423828,66.89970397949219,194.44764709472656,100.1934814453125,55975.37890625,129.97413635253906
2020-11-20,25527.369140625,157.0596160888672,70.140625,198.237548828125,100.62384033203124,57303.91015625,126.90467071533205
2020-11-27,26644.7109375,159.65855407714844,74.6536865234375,208.9327087402344,106.46434020996094,60403.8203125,125.72603607177734
2020-12-04,26751.240234375,166.16055297851562,76.26434326171875,213.8017120361328,107.44801330566406,63326.58203125,131.20037841796875
2020-12-11,26652.51953125,163.4977264404297,75.58574676513672,214.16763305664065,105.00640869140624,65009.37890625,133.54022216796875
2020-12-18,26763.390625,165.02066040039062,71.28524017333984,216.07742309570312,104.58485412597656,64655.125,134.90225219726562
2020-12-25,26656.609375,163.74398803710938,69.7645492553711,228.59780883789065,109.36266326904295,68906.3984375,133.1211700439453
