date,symbol,open,high,low,close_TA,volume_TA,ADX_14,ADXR_14,APO,AROON_osc_14,BOP,CCI_14,CMO_14,DX_14,MACD,MACD_signal,MACD_hist,MACDEXT,MACDEXT_signal,MACDEXT_hist,MACDFIX,MACDFIX_signal,MACDFIX_hist,MFI_14,MINUS_DI_14,MINUS_DM_14,MOM_10,PLUS_DI_14,PLUS_DM_14,PPO,ROC_10,ROCP_10,ROCR_10,ROCR100_10,RSI_14,SlowK_3,SlowD_3,FASTK_5,FASTD_5,FASTK_rsi,FASTD_rsi,TRIX_30,ULTOSC,WILLR_14,BBANDS_upper_14,BBANDS_middle_14,BBANDS_lower_14,DEMA_30,EMA_8,EMA_21,EMA_50,EMA_100,EMA_200,HT_TRENDLINE,KAMA_30,MA_50,MA_200,MA_100,MAMA,FAMA,MIDPOINT_14,MIDPRICE_14,SAR,SAREXT,SMA_8,SMA_21,SMA_50,SMA_100,SMA_200,T3,TEMA_30,TRIMA_30,WMA_50,ATR_14,NATR_14,TRANGE,AD
2020-08-01,BTCUSDT,11335.46,11861.0,11220.0,11801.17,85087.485126,41.13443297564585,29.69144685533036,634.7972435897445,92.85714285714286,0.7265366614664601,120.4663386609844,70.57781806107124,82.27225870505401,556.2457134250617,329.25364991442814,226.9920635106336,634.7972435897445,279.69133190883167,355.10591168091287,526.8594815095057,311.3317207016757,215.52776080783,85.13690113179709,4.159672152645504,222.7483629474224,2283.01,42.768721977647786,2290.243667356246,6.492062514943048,23.98583339637073,0.2398583339637073,1.2398583339637073,123.98583339637072,85.28890903053562,90.45110887841552,85.98048348165413,95.383487654321,90.45110887841552,100.0,89.34002100874778,0.1279483376040113,70.51443481355064,-2.168028554345657,12005.446386897462,10237.425714285737,8469.405041674008,10543.418562255698,10938.197577439552,10210.462221380409,9708.82828520349,9291.153646240537,8884.510339644023,9831.472813209495,10490.47993726233,9544.316600000013,8696.802800000003,9361.417299999992,11066.413167349623,10161.233211758092,10480.975,10481.175,2817.0,2817.0,10863.120000000004,9894.3380952381,9544.316600000013,9361.417299999992,8696.802800000003,10392.863383494248,10928.722454060604,9467.545291666926,9749.201027450694,382.4964268702848,3.2411737723487146,641.0,3592188.520478742
2020-08-02,BTCUSDT,11801.17,12123.46,10518.5,11071.35,97553.077604,41.06356923894432,29.76454614153205,705.1420512820514,100.0,-0.4547278436845778,75.49175512907136,31.82930889041381,40.14234066182436,550.4074707630807,373.4844140841586,176.92305667892208,705.1420512820514,353.0790170940166,352.0630341880348,522.2003913786102,353.5054548370626,168.69493654154763,75.80241980485442,13.809953696598756,908.3377655940352,1468.08,32.33269153641032,2126.654833973657,7.160387566202505,15.287292765901617,0.1528729276590161,1.1528729276590162,115.2872927659016,65.9146544452069,74.24026543992065,83.82262054024308,34.44634134184034,74.24026543992065,0.0,62.279352113588224,0.1477220503932841,62.08559360543477,-35.15869886314267,12088.477519539683,10370.45142857145,8652.425337603217,10642.949148122148,10967.787004675209,10288.72474670946,9762.260509313155,9326.405059186269,8906.26993825453,9895.454318580543,10542.953356003787,9576.27680000001,8708.052500000003,9397.08079999999,11066.66000898214,10183.868881688692,10480.975,10627.23,2817.0,2817.0,11034.486250000004,9978.557142857147,9576.27680000001,9397.08079999999,8708.052500000003,10570.436444048732,11031.033488964018,9534.432250000258,9809.08469019579,469.81525352240726,4.243522727783037,1604.9599999999991,3561842.3750766306
2020-08-03,BTCUSDT,11071.36,11473.0,10936.0,11219.81,56931.841475,40.997767197721465,29.207117037507736,778.3404487179487,92.85714285714286,0.2764432029795138,64.31613180922928,35.06090483948219,40.14234066182438,551.4038621730597,409.0683037019388,142.33555847112086,778.3404487179487,432.5313105413098,345.80913817663884,523.7969273601848,387.563749341687,136.23317801849777,73.58358626876007,12.693867395374072,843.4564966230325,1682.0100000000002,29.719643375763816,1974.7509172612529,7.8490022213598,17.63519889282643,0.1763519889282644,1.1763519889282643,117.63519889282644,67.5304524197411,57.84208170207344,74.17781867346984,43.69641611005881,57.84208170207344,8.339923311205805,36.11330777040187,0.167681196970415,58.77259615735933,-30.41916611123453,12146.365419645255,10517.52500000002,8888.684580354788,10750.372692473024,11023.792114747384,10373.368860644963,9819.419312869504,9363.898226331095,8929.290237376375,9952.903260245475,10606.15348394201,9613.831000000013,8720.551500000003,9433.892199999991,11074.317508533031,10206.130097359804,10595.585,10638.13,2817.0,2817.0,11195.520000000004,10072.709047619051,9613.831000000013,9433.892199999991,8720.551500000003,10719.08341565484,11143.705611810708,9609.23087500026,9873.536972548733,474.6141639850925,4.230144396251742,537.0,3565088.6562423
2020-08-04,BTCUSDT,11219.68,11414.98,11000.0,11191.97,58629.113709,40.93666530230025,29.0283624223794,835.3651923076923,85.71428571428572,-0.0667743023760204,57.06496240269342,33.780180702358535,40.14234066182436,543.6798513156573,435.9906132246825,107.68923809097475,835.3651923076923,515.4521438746432,319.9130484330491,517.0714883428955,413.4652971419287,103.60619120096676,67.72289767896406,11.893908430329956,783.2096040071017,1491.5499999999993,27.846731487223035,1833.6972803140209,8.360513975701595,15.37613835277234,0.1537613835277234,1.1537613835277234,115.37613835277234,66.89009035117928,40.03485029741142,57.37239914646849,41.961793440334944,40.03485029741142,5.0347016019446285,4.458208304383413,0.1873976527985155,58.27551949758914,-32.541590100822376,12180.377377337598,10646.237142857164,9112.09690837673,10842.859841306738,11061.164978136852,10447.787146040877,9873.244830011876,9400.097667393846,8951.804463870143,10003.972499011858,10663.107456562582,9649.15000000001,8731.944950000003,9468.880899999993,11080.20013310638,10227.981848253468,10659.665,10692.23,2817.0,2817.0,11215.771250000003,10164.905238095243,9649.15000000001,9468.880899999993,8731.944950000003,10838.135908428185,11233.339679312525,9692.186416666927,9935.4247764703,470.35458084330014,4.2026075913650605,414.9799999999996,3560703.269742884
2020-08-05,BTCUSDT,11191.99,11780.93,11093.0,11744.91,74970.256852,41.43953900626901,29.473849923526245,924.8075641025624,78.57142857142857,0.8037445670344364,84.55662534553574,44.94637799223335,47.976897157862986,575.5416678653764,463.9008241528213,111.64084371255512,924.8075641025624,599.0283119658111,325.77925213675144,547.4370576716938,440.2596492478817,107.17740842381204,68.8889535890642,10.691096397385774,727.2660608637373,1813.369999999999,30.41024440432563,2068.668903148734,9.16896965006434,18.25869905372177,0.1825869905372176,1.1825869905372175,118.25869905372176,72.47318899611666,54.02398398298613,50.63363866082364,76.41374239856448,54.02398398298613,33.85180328886691,15.742142734005716,0.2081945308361366,62.33663127631396,-14.108522509159055,12299.843047957062,10805.290714285737,9310.738380614408,10994.29681612872,11213.108316328662,10565.707405491705,9946.643464129058,9446.529594772186,8979.596558757008,10059.361326462453,10780.86285237042,9693.53640000001,8746.089700000004,9508.583799999991,11183.509786449122,10302.236244773578,10669.485,10781.895,2817.0,2817.0,11320.601250000003,10286.20571428572,9693.53640000001,9508.583799999991,8746.089700000004,10951.138431256944,11408.011063545184,9784.573375000262,10017.611443136968,485.8956822116359,4.137074547285896,687.9300000000003,3627822.644523136
2020-08-06,BTCUSDT,11744.91,11900.0,11562.5,11762.46,63529.08502,42.06944283463839,29.96899172621893,999.3969230769216,71.42857142857143,0.0519999999999978,103.60512651942662,45.26187194754014,50.25819260344032,595.345750143757,490.1898093510084,105.15594079274854,999.3969230769216,682.2563105413096,317.14061253561204,566.4695696576546,465.5016333298363,100.96793632781828,69.56805317244965,10.148841059165257,675.318485087756,732.5,30.6572397422621,2039.97683863811,9.813862211808202,6.641003231199383,0.0664100323119938,1.0664100323119938,106.64100323119938,72.63093597377008,65.2942544777856,53.1176962527277,77.50722759445718,65.2942544777856,100.0,46.29550163027045,0.2295782858337425,61.51855745779409,-13.57132653137947,12369.30228030703,10959.518571428593,9549.734862550156,11132.139634610272,11335.186468255626,10674.50309590155,10017.85195573184,9492.389602796498,9007.286742251965,10134.460703913044,10897.718071725028,9739.482800000009,8761.393500000004,9548.818599999991,11472.98489322456,10594.923406886322,10669.485,10793.45,2817.0,2817.0,11403.342500000006,10411.383809523812,9739.482800000009,9548.818599999991,8761.393500000004,11063.100367025894,11559.82847028307,9886.120750000262,10098.745701960495,475.2959906250905,4.040787306610101,337.5,3639572.2311511305
2020-08-07,BTCUSDT,11762.47,11909.94,11322.0,11594.23,65755.926022,41.71975348076429,30.21117564343649,1049.8205769230772,64.28571428571429,-0.2861516481273593,85.98318676705344,37.14839717649449,37.17379188040104,590.6571450895681,510.28327649872034,80.37386859084774,1049.8205769230772,761.7941239316227,288.02645299145445,562.4438495479681,484.8900765734626,77.55377297450542,67.53736275907119,12.821171079458704,867.5814504386306,687.9599999999991,27.99355087559456,1894.2642073068164,10.220557255611675,6.307931125856947,0.0630793112585695,1.0630793112585697,106.30793112585695,68.57419858824724,73.8350718096952,64.3844367568223,67.58424543606374,73.8350718096952,29.33554301548934,54.39578210145203,0.2505959992919138,59.168449861339255,-20.27343839783025,12305.897472486806,11106.406428571452,9906.915384656098,11234.386764479726,11392.751697532154,10758.114632637771,10079.670702565883,9534.01020472132,9033.02747118478,10237.710445,10963.2162332903,9783.641000000009,8776.152900000003,9576.975199999992,11479.047148563332,10617.026500428248,10750.795,10818.23,2817.0,2817.0,11465.170000000006,10527.570000000003,9783.641000000009,9576.975199999992,8776.152900000003,11165.398280058287,11657.698464658815,9994.87725000026,10171.48088627422,483.3419912947269,4.16881493031212,587.9400000000005,3634709.374969485
2020-08-08,BTCUSDT,11594.36,11808.27,11512.0,11761.41,41858.16104,41.3950419378812,31.133316561739328,1013.8982051282056,57.142857142857146,0.5638437911364601,100.0046616439524,40.69345587636584,37.17379188040105,593.5888973110486,526.944400661186,66.64449664986262,1013.8982051282056,827.870199430198,186.02800569800752,565.4896338043127,501.0099880196327,64.47964578468003,67.8023373948999,12.243862207610064,805.6113468358712,660.8799999999992,26.73306342285952,1758.9596210706152,9.778607639057237,5.9535896033792834,0.0595358960337929,1.0595358960337928,105.95358960337929,70.34672793818292,76.25613958773557,71.79515529173877,83.67694573268561,76.25613958773557,60.211296632005386,63.182279882498186,0.2714326360083285,57.58029742869003,-14.637390537950862,12207.4920815999,11253.620000000024,10299.747918400144,11346.239843732892,11474.675764747231,10849.323302397976,10145.621263249575,9578.117131360505,9060.175556048613,10348.318651666666,11061.106172579252,9832.66460000001,8791.279800000002,9608.389299999992,11620.228574281666,10867.827018891605,10866.355,10886.73,2817.0,2817.0,11518.413750000009,10650.957142857147,9832.66460000001,9608.389299999992,8791.279800000002,11260.38560593596,11769.026283014437,10112.202083333596,10249.040454901671,469.9797062022465,3.995946967261974,296.27000000000044,3663326.415232259
2020-08-09,BTCUSDT,11761.02,11797.11,11521.97,11681.68,41493.067342,41.09352407663262,32.905087439009655,985.2145512820516,50.0,-0.2883622882895972,82.78379830539446,36.73249158136888,37.17379188040103,582.7610804212,538.1077366131888,44.65334380801119,985.2145512820516,880.7536396011382,104.46091168091344,555.5428732955661,511.91656507481935,43.62630822074675,63.22631690600081,11.716244106256395,748.0676792047376,582.0699999999997,25.58107004631125,1633.3196481369998,9.417225443740506,5.244058124564743,0.0524405812456473,1.0524405812456474,105.24405812456476,68.36624579068445,74.4401129064551,74.84377476796193,72.0591475506157,74.4401129064551,0.0,29.84894654916485,0.2915246671999272,63.37649816746422,-20.024022662889465,12011.33545031308,11378.63000000002,10745.92454968696,11435.89803340717,11520.676705914511,10924.99209308907,10205.8588607692,9619.771841630592,9086.260177381462,10437.314,11130.199752347622,9879.119200000008,8806.2764,9636.936499999993,11623.301145567582,10886.713872058504,11353.72,11020.335,2817.0,2817.0,11503.477500000008,10768.70428571429,9879.119200000008,9636.936499999993,8806.2764,11344.18398424632,11847.26482928944,10236.509791666933,10321.550862744807,456.0625843306576,3.9040838674801694,275.14000000000124,3670004.153917669
2020-08-10,BTCUSDT,11681.69,12067.35,11450.0,11892.92,84952.337887,41.30224420200504,34.79465375188372,947.5808974358988,42.85714285714286,0.342155989309143,100.06290500635228,41.43675107908344,44.01560583184643,584.4876503175165,547.3837193540543,37.103930963462176,947.5808974358988,915.5073789173774,32.07351851852138,557.3153755209896,520.9963271640534,36.31904835693626,61.184639988669055,10.61131857352342,694.6342735472564,557.460000000001,27.296811830286902,1786.8939589843567,8.968632137110605,4.917841887316454,0.0491784188731644,1.0491784188731643,104.91784188731646,70.71837553954173,77.44455496465142,76.046935819614,76.5975716106527,77.44455496465142,55.15359024639493,38.45496229280005,0.3112474380095431,64.93007827378491,-14.364220915162944,12092.921128594551,11440.270000000022,10787.618871405492,11541.76116075622,11603.39743793351,11012.98553917188,10272.018121131192,9664.784676449788,9114.187140790602,10531.252708333332,11226.334210009769,9931.083800000008,8823.718400000002,9666.145199999994,11758.110572783791,11104.563047239824,11399.595,11320.98,2817.0,2817.0,11606.173750000007,10898.806190476196,9931.083800000008,9666.145199999994,8823.718400000002,11423.265169484184,11949.243572339232,10367.27291666693,10400.523443136964,467.5831140213249,3.931609007891459,617.3500000000004,3706950.5428368896
2020-08-11,BTCUSDT,11892.9,11935.0,11125.0,11392.08,90748.284634,40.22451972470333,35.95299556831469,885.0933974358995,0.0,-0.6182962962962959,12.15667725454322,18.869070028077804,26.21410151978109,539.2264996628637,545.7522754158161,-6.525775752952427,885.0933974358995,935.5019729344716,-50.40857549857219,514.8762074211172,519.7723032154661,-4.8960957943488665,51.7174869071636,14.081530181988738,970.0175397224524,-409.09000000000015,24.087091389418493,1659.2586761997595,8.308894306250709,-3.466520692439823,-0.0346652069243981,0.9653347930756018,96.53347930756016,59.4345350140389,58.99954344692224,70.29473710600956,28.341911179498045,58.99954344692224,0.0,18.384530082131587,0.3288765838503682,61.04254140700787,-45.56998305253711,12058.346495380443,11474.970714285737,10891.59493319103,11573.32695207519,11556.438007281618,11047.448671974438,10315.94211638095,9698.988544242862,9136.852741379753,10596.625124358974,11238.978055835498,9965.211600000008,8838.483800000002,9691.124399999992,11739.8090441446,11120.444197162442,11482.135,11320.98,2817.0,2817.0,11627.707500000008,10994.143333333335,9965.211600000008,9691.124399999992,8838.483800000002,11479.291132102451,11942.82682406735,10496.6385833336,10457.817411764414,492.04146301980165,4.319153859697278,810.0,3676046.830696837
2020-08-12,BTCUSDT,11392.09,11617.52,11150.0,11564.33,64909.613644,39.22377556720888,37.028598683572014,811.4732051282044,0.0,0.3684120465434625,-7.558434751910993,23.396169698816777,26.214101519781085,511.3611935982463,538.8740590523022,-27.51286545405594,811.4732051282044,939.1833903133888,-127.71018518518451,488.6348041691035,513.5448034061935,-24.909999237090005,44.46994955456533,13.122418820589694,900.73057259942,492.9799999999996,22.446488222285584,1540.7401993283484,7.552062984449952,4.452754180836127,0.0445275418083611,1.0445275418083613,104.45275418083612,61.69808484940839,50.52005504228746,62.321384484620346,46.62068233671138,50.52005504228746,20.060101259439072,25.07123050194461,0.3449510563920288,60.09659476256568,-34.83762835210843,12054.13951418721,11508.099285714308,10962.059057241406,11621.705560494494,11558.191783441258,11094.437883613124,10364.898503973853,9735.92599881231,9161.006743953089,10669.524415384614,11267.36574173526,10004.000400000008,8854.602550000001,9718.048099999993,11731.03509193737,11135.708969531815,11482.135,11320.98,2817.0,2817.0,11674.252500000008,11091.580000000004,10004.000400000008,9718.048099999993,8854.602550000001,11517.110255780455,11963.665082003648,10621.5494583336,10520.52793725461,490.2899299469587,4.239674325680422,467.5200000000005,3726186.841544274
2020-08-13,BTCUSDT,11564.34,11792.96,11270.36,11780.0,70132.491502,38.67307409501077,38.32152946881261,709.3351923076953,0.0,0.412667432070418,40.24746000627755,28.756528567433147,31.513954956435363,500.9063675521975,531.2805207522813,-30.37415320008381,709.3351923076953,925.180056980056,-215.8448646723607,478.6806093153064,506.5719645880161,-27.891355272709745,51.22082160308833,12.128014955769018,836.3926745566043,560.1900000000005,23.289463007965843,1606.1273279477507,6.540407972718483,4.992865298075455,0.0499286529807546,1.0499286529807546,104.99286529807546,64.37826428371658,48.15655895721695,52.558719148808855,69.50708335544115,48.15655895721695,43.812470217956886,21.290857159131928,0.360043862147652,63.96391726593059,-21.39991027813773,12068.714138369907,11556.698571428597,11044.68300448728,11690.735016726188,11607.48249823209,11156.761712375568,10420.392680288604,9776.402711707116,9187.066378341611,10754.436315384615,11315.805626829162,10053.670600000009,8870.42755,9745.629799999992,11733.483337340502,11150.653328727032,11482.135,11320.98,2817.0,2817.0,11678.638750000007,11195.233809523814,10053.670600000009,9745.629799999992,8870.42755,11549.46645971592,12016.3916648008,10742.3595833336,10590.174980391866,492.5977920936044,4.181645094173212,522.5999999999985,3792840.8902989887
