date,symbol,sum_open_interest,sum_open_interest_value,count_toptrader_long_short_ratio,sum_toptrader_long_short_ratio,count_long_short_ratio,sum_taker_long_short_vol_ratio
2021-12-30 15:45:00,BTCUSDT,72994.263,3454214075.29236,,,,
2021-12-30 15:50:00,BTCUSDT,72952.623,3451754816.29746,,,,
2021-12-30 15:55:00,BTCUSDT,72937.617,3445621433.259325,,,,
2021-12-30 16:00:00,BTCUSDT,72866.037,3433173068.977484,,,,
2021-12-30 16:05:00,BTCUSDT,72888.423,3437678240.35011,,,,
2021-12-30 16:10:00,BTCUSDT,72912.39,3439624350.5569983,,,,
2021-12-30 16:15:00,BTCUSDT,72963.961,3443869773.6156,,,,
2021-12-30 16:20:00,BTCUSDT,72958.035,3446488628.4589205,,,,
2021-12-30 16:25:00,BTCUSDT,72937.651,3444225771.901824,,,,
2021-12-30 16:30:00,BTCUSDT,72956.834,3443710235.7573733,,,,
2021-12-30 16:35:00,BTCUSDT,72986.941,3449714768.814053,,,,
2021-12-30 16:40:00,BTCUSDT,72647.281,3442934085.3740697,,,,
2021-12-30 16:45:00,BTCUSDT,72703.144,3446256256.102,,,,
2021-12-30 16:50:00,BTCUSDT,72467.699,3444557858.53168,,,,
2021-12-30 16:55:00,BTCUSDT,72651.454,3455965011.9792743,,,,
2021-12-30 17:00:00,BTCUSDT,72687.418,3457744835.50508,,,,
2021-12-30 17:05:00,BTCUSDT,72620.243,3449402720.10317,,,,
2021-12-30 17:10:00,BTCUSDT,72545.1,3445022927.4909387,,,,
2021-12-30 17:15:00,BTCUSDT,72533.671,3446755075.04398,,,,
2021-12-30 17:20:00,BTCUSDT,72569.248,3447456363.01264,,,,
2021-12-30 17:25:00,BTCUSDT,72686.263,3460475514.1176443,,,,
2021-12-30 17:30:00,BTCUSDT,72581.416,3460026296.1954184,,,,
2021-12-30 17:35:00,BTCUSDT,72630.621,3452118163.6995897,,,,
2021-12-30 17:40:00,BTCUSDT,72613.28,3452553116.1069665,,,,
2021-12-30 17:45:00,BTCUSDT,72631.293,3456253771.77297,,,,
2021-12-30 17:50:00,BTCUSDT,72645.626,3462218545.0837703,,,,
2021-12-30 17:55:00,BTCUSDT,72704.118,3461973948.7541285,,,,
2021-12-30 18:00:00,BTCUSDT,72746.364,3465303602.61288,,,,
2021-12-30 18:05:00,BTCUSDT,72765.309,3459087695.9987245,,,,
2021-12-30 18:10:00,BTCUSDT,72687.734,3452384032.911404,,,,
2021-12-30 18:15:00,BTCUSDT,72694.094,3454352892.1580973,,,,
2021-12-30 18:20:00,BTCUSDT,72666.245,3456524086.6383467,,,,
2021-12-30 18:25:00,BTCUSDT,72621.168,3460222911.97344,,,,
2021-12-30 18:30:00,BTCUSDT,72653.341,3463269973.19122,,,,
2021-12-30 18:35:00,BTCUSDT,72707.081,3462580213.4197,,,,
2021-12-30 18:40:00,BTCUSDT,72765.373,3461439654.0157404,,,,
2021-12-30 18:45:00,BTCUSDT,72789.154,3464259301.5627804,,,,
2021-12-30 18:50:00,BTCUSDT,72779.937,3467991813.7981105,,,,
2021-12-30 18:55:00,BTCUSDT,72453.121,3463023820.0530663,,,,
2021-12-30 19:00:00,BTCUSDT,72595.219,3472786987.7803006,,,,
2021-12-30 19:05:00,BTCUSDT,72481.384,3465542286.456884,,,,
2021-12-30 19:10:00,BTCUSDT,72504.48,3464092943.8272,,,,
2021-12-30 19:15:00,BTCUSDT,72459.068,3466223090.2199564,,,,
2021-12-30 19:20:00,BTCUSDT,72298.591,3456759030.52566,,,,
2021-12-30 19:25:00,BTCUSDT,72293.492,3452013520.06508,,,,
2021-12-30 19:30:00,BTCUSDT,72351.104,3458906593.19296,,,,
2021-12-30 19:35:00,BTCUSDT,72391.511,3461836994.487323,,,,
2021-12-30 19:40:00,BTCUSDT,72421.71,3465365063.3751,,,,
2021-12-30 19:45:00,BTCUSDT,72461.52,3461899116.4488,,,,
2021-12-30 19:50:00,BTCUSDT,72473.858,3460875833.870361,,,,
2021-12-30 19:55:00,BTCUSDT,72562.608,3455014883.59008,,,,
2021-12-30 20:00:00,BTCUSDT,72385.56,3441223275.6564,,,,
2021-12-30 20:05:00,BTCUSDT,72403.469,3437092865.1252275,,,,
2021-12-30 20:10:00,BTCUSDT,72365.724,3438013720.5551205,,,,
2021-12-30 20:15:00,BTCUSDT,72362.296,3438054975.24024,,,,
2021-12-30 20:20:00,BTCUSDT,72246.29,3438218097.9213734,,,,
2021-12-30 20:25:00,BTCUSDT,72259.019,3438400618.52322,,,,
2021-12-30 20:30:00,BTCUSDT,72258.967,3436333395.212344,,,,
2021-12-30 20:35:00,BTCUSDT,72180.889,3430195889.562278,,,,
2021-12-30 20:40:00,BTCUSDT,72161.892,3423909308.47812,,,,
2021-12-30 20:45:00,BTCUSDT,72056.94,3415670451.5172,,,,
2021-12-30 20:50:00,BTCUSDT,72327.216,3416037142.801124,,,,
2021-12-30 20:55:00,BTCUSDT,72344.048,3412044455.304334,,,,
2021-12-30 21:00:00,BTCUSDT,72366.501,3413743504.34298,,,,
2021-12-30 21:05:00,BTCUSDT,72341.109,3402386826.09795,,,,
2021-12-30 21:10:00,BTCUSDT,72073.391,3394815904.2325687,,,,
2021-12-30 21:15:00,BTCUSDT,72009.252,3393787032.363159,,,,
2021-12-30 21:20:00,BTCUSDT,71838.276,3393789854.5263143,,,,
2021-12-30 21:25:00,BTCUSDT,71849.71,3393649965.6125536,,,,
2021-12-30 21:30:00,BTCUSDT,71884.136,3397449638.1814656,,,,
2021-12-30 21:35:00,BTCUSDT,71886.866,3395285692.57136,,,,
2021-12-30 21:40:00,BTCUSDT,72050.514,3405953330.822125,,,,
2021-12-30 21:45:00,BTCUSDT,72094.817,3408212794.513079,,,,
2021-12-30 21:50:00,BTCUSDT,72109.313,3404586864.7531266,,,,
2021-12-30 21:55:00,BTCUSDT,72035.075,3403381399.4127502,,,,
2021-12-30 22:00:00,BTCUSDT,72020.857,3405293041.5082803,,,,
2021-12-30 22:05:00,BTCUSDT,71864.032,3398111390.896168,,,,
2021-12-30 22:10:00,BTCUSDT,72004.228,3398686048.4668026,,,,
2021-12-30 22:15:00,BTCUSDT,71997.048,3401853318.2952,,,,
2021-12-30 22:20:00,BTCUSDT,72013.611,3396983809.618388,,,,
2021-12-30 22:25:00,BTCUSDT,71990.636,3394157633.5255604,,,,
2021-12-30 22:30:00,BTCUSDT,71981.896,3396623403.11224,,,,
2021-12-30 22:35:00,BTCUSDT,71989.415,3391573575.44496,,,,
2021-12-30 22:40:00,BTCUSDT,71982.292,3379661466.55668,,,,
2021-12-30 22:45:00,BTCUSDT,71739.659,3359492749.766389,,,,
2021-12-30 22:50:00,BTCUSDT,71965.518,3380561497.0153203,,,,
2021-12-30 22:55:00,BTCUSDT,71974.114,3376304967.9988604,,,,
2021-12-30 23:00:00,BTCUSDT,71976.093,3386686065.6024904,,,,
2021-12-30 23:05:00,BTCUSDT,71956.163,3379884071.8573203,,,,
2021-12-30 23:10:00,BTCUSDT,71840.163,3377538682.58469,,,,
2021-12-30 23:15:00,BTCUSDT,71855.371,3382748234.53378,,,,
2021-12-30 23:20:00,BTCUSDT,71908.873,3393843160.283117,,,,
2021-12-30 23:25:00,BTCUSDT,71844.693,3386130186.95625,,,,
2021-12-30 23:30:00,BTCUSDT,71706.59,3378008538.7284,,,,
2021-12-30 23:35:00,BTCUSDT,71709.518,3375729484.339817,,,,
2021-12-30 23:40:00,BTCUSDT,71807.322,3374639670.95472,,,,
2021-12-30 23:45:00,BTCUSDT,71791.392,3379096166.307175,,,,
2021-12-30 23:50:00,BTCUSDT,71805.461,3379061594.79616,,,,
2021-12-30 23:55:00,BTCUSDT,71840.302,3385668312.695898,,,,
2021-12-31 00:00:00,BTCUSDT,71881.788,3385622818.914408,,,,
2022-01-30 15:45:00,BTCUSDT,76859.213,2919032207.56635,1.08014635,1.13538357,0.99583539,1.69958261
2022-01-30 15:50:00,BTCUSDT,76899.926,2920899177.453303,1.07669758,1.13668124,0.99162337,1.19197176
2022-01-30 15:55:00,BTCUSDT,76850.061,2915691314.34,1.07175889,1.13652117,0.98504971,0.54561774
2022-01-30 16:00:00,BTCUSDT,76864.738,2916413496.0719795,1.06927016,1.137219,0.98255023,1.29003978
2022-01-30 16:05:00,BTCUSDT,76856.064,2915149738.95936,1.06453664,1.13617794,0.97459433,0.75185294
2022-01-30 16:10:00,BTCUSDT,76972.782,2924506198.3509045,1.06443224,1.13667303,0.97812328,1.94416638
2022-01-30 16:15:00,BTCUSDT,77012.417,2925908885.23173,1.06242055,1.13627458,0.97682897,0.91047385
2022-01-30 16:20:00,BTCUSDT,77015.745,2924594360.3151,1.06032317,1.1364734,0.97581701,0.96956411
2022-01-30 16:25:00,BTCUSDT,76995.231,2919271873.50807,1.06182703,1.13743525,0.97616402,0.46221371
2022-01-30 16:30:00,BTCUSDT,77039.101,2920277289.31943,1.06167319,1.13876813,0.9773921,1.05797161
2022-01-30 16:35:00,BTCUSDT,77067.662,2919323036.56,1.05984148,1.13916452,0.97406879,0.91414601
2022-01-30 16:40:00,BTCUSDT,77087.071,2919996903.757719,1.05919489,1.13915891,0.97245438,0.87837033
2022-01-30 16:45:00,BTCUSDT,77239.24,2920916947.0676,1.05974926,1.13710093,0.97001927,0.54664727
2022-01-30 16:50:00,BTCUSDT,77254.668,2925129804.1779594,1.06851025,1.13666337,0.98029046,1.08267127
