DATE,Unnamed: 1,"('Close', 'CAT')",Date,Close
2020-08-24,,127.74935913085938,,
2020-08-25,,127.27144622802734,,
2020-08-26,,127.8846435546875,,
2020-08-27,,129.273193359375,,
2020-08-28,,129.50759887695312,,
2020-08-31,,128.3174285888672,,
2020-09-01,,131.68971252441406,,
2020-09-02,,134.5930938720703,,
2020-09-03,,132.32989501953125,,
2020-09-04,,133.61029052734375,,
2020-09-08,,133.91683959960938,,
2020-09-09,,137.67681884765625,,
2020-09-10,,135.12503051757812,,
2020-09-11,,138.70474243164062,,
2020-09-14,,138.4161834716797,,
2020-09-15,,133.98898315429688,,
2020-09-16,,136.25216674804688,,
2020-09-17,,138.7407684326172,,
2020-09-18,,137.40631103515625,,
2020-09-21,,131.0404815673828,,
2020-09-22,,132.6815185546875,,
2020-09-23,,130.18389892578125,,
2020-09-24,,130.86917114257812,,
2020-09-25,,131.56346130371094,,
2020-09-28,,133.159423828125,,
2020-09-29,,132.9159698486328,,
2020-09-30,,134.48489379882812,,
2020-10-01,,132.28475952148438,,
2020-10-02,,135.19717407226562,,
2020-10-05,,138.39816284179688,,
2020-10-06,,136.6308135986328,,
2020-10-07,,139.55230712890625,,
2020-10-08,,141.25645446777344,,
2020-10-09,,143.3123016357422,,
2020-10-12,,146.62144470214844,,
2020-10-13,,146.17959594726562,,
2020-10-14,,147.5231170654297,,
2020-10-15,,148.8125,,
2020-10-16,,152.15771484375,,
2020-10-19,,151.05767822265625,,
2020-10-20,,152.37408447265625,,
2020-10-21,,150.9404754638672,,
2020-10-22,,152.97825622558594,,
2020-10-23,,152.94195556640625,,
2020-10-26,,148.05224609375,,
2020-10-27,,143.2532501220703,,
2020-10-28,,137.12979125976562,,
2020-10-29,,140.31398010253906,,
2020-10-30,,142.47305297851562,,
2020-11-02,,148.11573791503906,,
2020-11-03,,152.12550354003906,,
2020-11-04,,140.82199096679688,,
2020-11-05,,147.95240783691406,,
2020-11-06,,146.31951904296875,,
2020-11-09,,154.96498107910156,,
2020-11-10,,156.30760192871094,,
2020-11-11,,153.73118591308594,,
2020-11-12,,153.4318084716797,,
2020-11-13,,155.77235412597656,,
2020-11-16,,157.11500549316406,,
2020-11-17,,155.95379638671875,,
2020-11-18,,156.70677185058594,,
2020-11-19,,156.8518829345703,,
2020-11-20,,156.24407958984375,,
2020-11-23,,158.55738830566406,,
2020-11-24,,160.4806365966797,,
2020-11-25,,158.42137145996094,,
2020-11-27,,158.8295440673828,,
2020-11-30,,157.47784423828125,,
2020-12-01,,157.17849731445312,,
2020-12-02,,157.73191833496094,,
2020-12-03,,158.42137145996094,,
2020-12-04,,165.2977752685547,,
2020-12-07,,162.12265014648438,,
2020-12-08,,162.24057006835938,,
2020-12-09,,163.35643005371094,,
2020-12-10,,162.2496795654297,,
2020-12-11,,162.64878845214844,,
2020-12-14,,161.52394104003906,,
2020-12-15,,164.8714141845703,,
2020-12-16,,162.8393096923828,,
2020-12-17,,162.53997802734375,,
2020-12-18,,164.16378784179688,,
2020-12-21,,163.43804931640625,,
2020-12-22,,160.1903533935547,,
2020-12-23,,161.8595428466797,,
2020-12-24,,162.89370727539062,,
2020-12-28,,161.814208984375,,
2020-12-29,,160.25384521484375,,
2020-12-30,,163.3291778564453,,
2020-12-31,,165.12539672851562,,
2021-01-04,,165.2433319091797,,
2021-01-05,,166.59506225585938,,
2021-01-06,,175.86643981933594,,
2021-01-07,,176.20208740234375,,
2021-01-08,,176.22935485839844,,
2021-01-11,,175.86643981933594,,
2021-01-12,,179.2048797607422,,
2021-01-13,,177.70802307128906,,
2021-01-14,,179.07789611816406,,
2021-01-15,,176.555908203125,,
2021-01-19,,176.98455810546875,,
2021-01-20,,175.41592407226562,,
2021-01-21,,175.2790985107422,,
2021-01-22,,175.05108642578125,,
2021-01-25,,170.85585021972656,,
2021-01-26,,170.73731994628906,,
2021-01-27,,164.7362823486328,,
2021-01-28,,168.11984252929688,,
2021-01-29,,166.75181579589844,,
2021-02-01,,168.4663848876953,,
2021-02-02,,175.56185913085938,,
2021-02-03,,174.60423278808594,,
2021-02-04,,174.78660583496094,,
2021-02-05,,176.01785278320312,,
2021-02-08,,180.0762939453125,,
2021-02-09,,179.9212188720703,,
2021-02-10,,180.322509765625,,
2021-02-11,,180.89707946777344,,
2021-02-12,,180.5687561035156,,
2021-02-16,,184.57247924804688,,
2021-02-17,,184.49952697753903,,
2021-02-18,,182.3289337158203,,
2021-02-19,,191.43991088867188,,
2021-02-22,,198.872787475586,,
2021-02-23,,200.80621337890625,,
2021-02-24,,202.89474487304688,,
2021-02-25,,202.3018951416016,,
2021-02-26,,196.88458251953125,,
2021-03-01,,200.4232177734375,,
2021-03-02,,196.8299255371093,,
2021-03-03,,195.9999389648437,,
