DATE,Unnamed: 1,"('Close', 'GS')",Date,Close
2020-08-24,,182.017822265625,,
2020-08-25,,180.84146118164065,,
2020-08-26,,181.9124755859375,,
2020-08-27,,184.484603881836,,
2020-08-28,,182.3426208496093,,
2020-08-31,,180.9383544921875,,
2020-09-01,,181.4594573974609,,
2020-09-02,,185.50440979003903,,
2020-09-03,,183.3141326904297,,
2020-09-04,,186.29928588867188,,
2020-09-08,,178.8275146484375,,
2020-09-09,,178.59791564941406,,
2020-09-10,,176.6460723876953,,
2020-09-11,,177.44976806640625,,
2020-09-14,,177.82070922851562,,
2020-09-15,,174.87086486816406,,
2020-09-16,,177.23779296875,,
2020-09-17,,172.0711669921875,,
2020-09-18,,172.09764099121094,,
2020-09-21,,171.33811950683594,,
2020-09-22,,169.2361297607422,,
2020-09-23,,164.3786163330078,,
2020-09-24,,172.31845092773438,,
2020-09-25,,172.17713928222656,,
2020-09-28,,175.81588745117188,,
2020-09-29,,173.80218505859375,,
2020-09-30,,177.4939422607422,,
2020-10-01,,175.3566131591797,,
2020-10-02,,176.54888916015625,,
2020-10-05,,178.22698974609375,,
2020-10-06,,177.5998992919922,,
2020-10-07,,179.8166961669922,,
2020-10-08,,183.68505859375,,
2020-10-09,,183.2964630126953,,
2020-10-12,,189.1078338623047,,
2020-10-13,,186.1844787597656,,
2020-10-14,,186.555419921875,,
2020-10-15,,184.232650756836,,
2020-10-16,,182.1218414306641,,
2020-10-19,,181.66256713867188,,
2020-10-20,,183.72921752929688,,
2020-10-21,,179.20733642578125,,
2020-10-22,,181.4064483642578,,
2020-10-23,,181.0885009765625,,
2020-10-26,,177.6440887451172,,
2020-10-27,,172.82186889648438,,
2020-10-28,,167.60223388671875,,
2020-10-29,,167.75234985351562,,
2020-10-30,,166.95751953125,,
2020-11-02,,167.98202514648438,,
2020-11-03,,174.80902099609375,,
2020-11-04,,174.75607299804688,,
2020-11-05,,179.25146484375,,
2020-11-06,,177.75003051757812,,
2020-11-09,,189.8231658935547,,
2020-11-10,,192.0664978027344,,
2020-11-11,,192.5787506103516,,
2020-11-12,,189.4522705078125,,
2020-11-13,,193.4884033203125,,
2020-11-16,,196.40293884277344,,
2020-11-17,,198.4077911376953,,
2020-11-18,,198.0986175537109,,
2020-11-19,,198.337142944336,,
2020-11-20,,197.2596435546875,,
2020-11-23,,202.0994873046875,,
2020-11-24,,209.75672912597656,,
2020-11-25,,208.9088592529297,,
2020-11-27,,207.90200805664065,,
2020-11-30,,203.64505004882807,,
2020-12-01,,206.0870513916016,,
2020-12-02,,211.03323364257807,,
2020-12-03,,209.097396850586,,
2020-12-04,,212.7470550537109,,
2020-12-07,,211.74365234375,,
2020-12-08,,212.0899658203125,,
2020-12-09,,215.6241912841797,,
2020-12-10,,217.02720642089844,,
2020-12-11,,213.11114501953125,,
2020-12-14,,211.1575622558593,,
2020-12-15,,215.27784729003903,,
2020-12-16,,216.46778869628903,,
2020-12-17,,217.0538787841797,,
2020-12-18,,215.01153564453125,,
2020-12-21,,228.1982879638672,,
2020-12-22,,222.0799255371093,,
2020-12-23,,227.7276306152344,,
2020-12-24,,227.47010803222656,,
2020-12-28,,230.5159149169922,,
2020-12-29,,229.1129150390625,,
2020-12-30,,230.39163208007807,,
2020-12-31,,234.1744842529297,,
2021-01-04,,235.3200225830078,,
