DATE,Unnamed: 1,"('Close', 'JPM')",Date,Close
2020-08-24,,86.68110656738281,,
2020-08-25,,87.06228637695312,,
2020-08-26,,85.84080505371094,,
2020-08-27,,88.6649169921875,,
2020-08-28,,89.02876281738281,,
2020-08-31,,86.7937240600586,,
2020-09-01,,86.75041198730469,,
2020-09-02,,88.05852508544922,,
2020-09-03,,87.78129577636719,,
2020-09-04,,89.678466796875,,
2020-09-08,,86.55982971191406,,
2020-09-09,,87.3828125,,
2020-09-10,,86.48188018798828,,
2020-09-11,,87.55606842041016,,
2020-09-14,,88.76887512207031,,
2020-09-15,,86.00540924072266,,
2020-09-16,,86.36923217773438,,
2020-09-17,,85.38166809082031,,
2020-09-18,,85.19973754882812,,
2020-09-21,,82.56620788574219,,
2020-09-22,,81.66527557373047,,
2020-09-23,,80.33985137939453,,
2020-09-24,,80.27056884765625,,
2020-09-25,,80.97224426269531,,
2020-09-28,,83.30257415771484,,
2020-09-29,,82.60086822509766,,
2020-09-30,,83.39786529541016,,
2020-10-01,,84.00428009033203,,
2020-10-02,,84.80125427246094,,
2020-10-05,,86.59363555908203,,
2020-10-06,,85.70182800292969,,
2020-10-07,,87.19692993164062,,
2020-10-08,,88.98931121826172,,
2020-10-09,,88.482177734375,,
2020-10-12,,89.56634521484375,,
2020-10-13,,88.11495971679688,,
2020-10-14,,87.62535095214844,,
2020-10-15,,88.93684387207031,,
2020-10-16,,88.75325012207031,,
2020-10-19,,87.25814056396484,,
2020-10-20,,87.75650024414062,,
2020-10-21,,86.8821792602539,,
2020-10-22,,89.95106506347656,,
2020-10-23,,90.76419830322266,,
2020-10-26,,88.51715850830078,,
2020-10-27,,86.8471908569336,,
2020-10-28,,84.40780639648438,,
2020-10-29,,84.95865631103516,,
2020-10-30,,85.71930694580078,,
2020-11-02,,87.6515884399414,,
2020-11-03,,90.41446685791016,,
2020-11-04,,87.6515884399414,,
2020-11-05,,91.23632049560548,,
2020-11-06,,90.02102661132812,,
