date,^N225,CAT,CVX,GS,JPM,005930.KS,JNJ
2020-09-04,,,,,,,
2020-09-11,0.008664375087322984,0.03812958099792252,-0.0517514052860274,-0.047501609027080005,-0.02366701986447617,0.06115114574246405,-0.005451501063652664
2020-09-18,-0.001973360920945133,-0.009361100358835972,0.00669327367830963,-0.030161204757422788,-0.026911980779870448,0.005084531980045437,0.009473634822487975
2020-09-25,-0.006664367984078212,-0.042522571926421615,-0.08157516678075549,0.00046168752303810123,-0.049618838128221765,-0.023608604542273204,-0.02359564995975616
2020-10-02,-0.0075294814769923946,0.027619703187185207,-0.008909927728733336,0.025391325144255905,0.047287949695841824,0.011365038557652918,0.003981914327195524
2020-10-09,0.02560970965988596,0.060023937493052903,0.03947168994694206,0.03821909290511338,0.0434066291829609,0.02577299431601432,0.03234395396153378
2020-10-16,-0.008851030584669295,0.06172160444692287,-0.015000191617860592,-0.006408512078583839,0.0030632151432665733,-0.0033499252333921703,-0.01901026555505636
2020-10-23,0.004526105469411901,0.005154004092436715,-0.004389886911290941,-0.005673586803510822,0.022657923208835085,0.011764555016767764,-0.019311225529519027
2020-10-30,-0.022939507299285178,-0.06844996585784158,-0.042304071991517755,-0.07803355040458937,-0.05558225407933037,-0.059800691469007905,-0.05597633931197599
2020-11-06,0.058671364045653096,0.026997658496816124,0.023740990041275056,0.06464202849534106,0.05018349148978363,0.06183721930904129,0.037487932700487114
2020-11-13,0.043602409984874635,0.06460400900609775,0.16697109640887353,0.08854240386442891,0.10800317605033283,0.051580875764503764,0.05377874924852555
2020-11-20,0.00557396712384195,0.003028460099468111,0.04844447475434732,0.019490602175053162,0.004295278300651129,0.02373420735972287,-0.023615972556889853
2020-11-27,0.04377034667065738,0.01654746174096533,0.06434304689240355,0.053951231617488826,0.058042903735910256,0.05409596217426538,-0.00928755921205271
2020-12-04,0.0039981404611550975,0.040724400511765735,0.021575046233993866,0.023304169678630915,0.009239460778728281,0.04838703419136481,0.0435418352254906
2020-12-11,-0.0036903224770171716,-0.01602562395438245,-0.008897952405533371,0.0017114971485634456,-0.022723590126436655,0.02657330967538374,0.017834123485116038
2020-12-18,0.004159872901321915,0.00931471032116038,-0.05689573465695319,0.008917267337765322,-0.0040145603557258935,-0.005449273815719247,0.010199399156185951
2020-12-25,-0.003989825186807794,-0.007736439547530893,-0.02133247940626959,0.05794397935152218,0.04568356654503081,0.06575307738559011,-0.013202760697544669
2021-01-01,0.029544663231386714,0.01369996028375775,-0.010313118323689863,0.029473574741348818,0.020478453798813856,0.0673329615276339,0.032203074907822815
2021-01-08,0.02531901591405572,0.06724539907642324,0.07850805436628172,0.09999603836907633,0.07814270906018206,0.09629667713594059,0.016901390933392157
2021-01-15,0.013509719422596378,0.0018530279172139785,0.011089035427169547,0.03767954280928687,0.019262005979965302,-0.009009125981645716,0.0016248104260434548
2021-01-22,0.003936632556763575,-0.008523053590527518,-0.003908965764630068,-0.03860338662792184,-0.034982820289377714,-0.01363654230000333,0.020274403622664305
2021-01-29,-0.03381102319878537,-0.04741057231308943,-0.0711873496887443,-0.06295976844426854,-0.03826904028929046,-0.05529928244299476,-0.0025677968356578873
2021-02-05,0.04033485422125471,0.05556759691394508,0.04765260432194274,0.08234687902151161,0.07235573879354407,0.01829263238105794,0.00809143849378624
2021-02-12,0.02574363189004103,0.025855158712534188,0.03685885875714012,0.043679304639619776,0.023699156076393058,-0.02275460788512329,0.012952359657264712
2021-02-19,0.01686478399626945,0.060204924172306606,0.04974756230985755,0.030360652692352552,0.04792899285441865,0.012254905320546516,-0.02161118520389882
2021-02-26,-0.0350427397697014,0.02844075390048828,0.04384147046608278,0.01222989007888553,-0.005742338489155285,-0.0012107478323624132,-0.021670555780682443
2021-03-05,-0.0035106476158713873,0.019825869363704784,0.09000011962019672,0.028721263002134734,0.025412754045202268,-0.004848444900512949,-0.014893387546374703
2021-03-12,0.029569716396730117,0.04015263322861684,0.02348607657363222,0.06549161423776884,0.03472280961000451,0.008526221786988364,0.022421478761035063
2021-03-19,0.002497514217218555,-0.016200940121578578,-0.07332374961842336,-0.013216145114902211,-0.006468050358707678,-0.01086957877173833,0.0027567300036956954
2021-03-26,-0.020654891031780864,0.01868711603049844,0.03965951580672611,-0.04883798329037814,-0.0003223280020422381,-0.004883649172763294,0.030554627065227713
2021-04-02,0.023213756161106103,0.01411744279930316,-0.0160959557339172,0.0007633783962768259,-0.008898298251204362,0.04511417426413744,-0.012732485434695073
2021-04-09,-0.0028786579059757456,-0.008550169816269992,-0.026761249061898362,0.009675564741499665,0.022708348296046177,-0.014151052990029389,-0.009703345568913946
2021-04-16,-0.002845042797351205,0.011310977923205456,0.00038855373968216256,0.03476308032898712,-0.01906852495694522,0.0035882887697904486,0.006139605501722434
2021-04-23,-0.02232692246322432,-0.009469636857935004,-0.01369455093895,-0.008647129317656432,-0.020287113003511603,-0.01311042470049062,0.020216894111944272
2021-04-30,-0.007167314901178501,-0.00869149401371605,0.014967860255994392,0.02681600516505478,0.024102855168556925,-0.015700620534541132,-0.016855724088895352
2021-05-07,0.018921890742497283,0.05646393128558058,0.06743006747033031,0.0643995337399228,0.04830647819085332,0.004907873577111976,0.035457163465345776
2021-05-14,-0.04337343834865126,0.0051454604296024,-0.004999047812364599,-0.005716157717790993,0.017179016007642156,-0.021977986347159084,0.010207829183989103
